IAsID,IsID,AsID,IAsAlgusKpv,IAsKinniKpv,IAsKasutajaNimi,IAsKasutajaSalasona,KdIDStaatus,IAsLisainfo,IAsKirjeteArv,AKpIDPadevusAla,IAsMuudatused,IAsAndmevaljad,IAsDokumendiLiigid,IAsKontaktTeavitamiseks,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv
67,940,4,2024-05-30,,user_940_4,pwd8970,550,Lisainfo isikule 940,53,,,,,user_940_4@domain.ee,63.0,1921-01-06,,,
68,949,37,1928-03-24,1928-03-28,user_949_37,pwd8032,549,Lisainfo isikule 949,59,,,,,user_949_37@domain.ee,38.0,1925-08-27,,,
69,978,19,1994-10-19,1994-10-22,user_978_19,pwd1205,549,Lisainfo isikule 978,146,,,,,user_978_19@domain.ee,340.0,1902-08-13,161.0,1964-09-24,
70,979,28,1961-11-24,1961-12-01,user_979_28,pwd4119,549,Lisainfo isikule 979,174,,,,,user_979_28@domain.ee,265.0,1916-10-26,,,
71,1002,13,1906-03-09,1906-03-16,user_1002_13,pwd3533,549,Lisainfo isikule 1002,99,,,,,user_1002_13@domain.ee,342.0,1903-06-07,222.0,1904-08-18,
72,1007,13,1998-08-26,1998-08-28,user_1007_13,pwd9458,550,Lisainfo isikule 1007,140,,,,,user_1007_13@domain.ee,81.0,1905-07-26,78.0,1983-07-25,
73,1026,23,2014-05-22,2014-05-29,user_1026_23,pwd6126,549,Lisainfo isikule 1026,148,,,,,user_1026_23@domain.ee,25.0,2011-05-03,11.0,2013-12-16,
74,1065,28,1972-08-12,1972-08-16,user_1065_28,pwd4926,549,Lisainfo isikule 1065,88,,,,,user_1065_28@domain.ee,194.0,1937-02-23,51.0,1989-04-14,
75,1097,45,1904-10-11,1904-10-12,user_1097_45,pwd9335,550,Lisainfo isikule 1097,120,,,,,user_1097_45@domain.ee,,1900-01-11,,,
76,1112,39,1907-03-13,1907-03-15,user_1112_39,pwd1902,550,Lisainfo isikule 1112,91,,,,,user_1112_39@domain.ee,342.0,1902-08-24,269.0,1932-07-29,2012-06-01
77,1132,9,1942-03-05,1942-03-10,user_1132_9,pwd1807,549,Lisainfo isikule 1132,135,,,,,user_1132_9@domain.ee,16.0,1925-08-17,,,
78,1135,43,1968-09-19,1968-09-26,user_1135_43,pwd1254,549,Lisainfo isikule 1135,23,,,,,user_1135_43@domain.ee,16.0,1925-08-29,76.0,2021-12-05,
79,1153,11,1983-07-30,1983-07-31,user_1153_11,pwd8980,549,Lisainfo isikule 1153,49,,,,,user_1153_11@domain.ee,77.0,1950-12-08,311.0,1986-02-12,
80,1156,28,1910-06-17,1910-06-22,user_1156_28,pwd8038,549,Lisainfo isikule 1156,199,,,,,user_1156_28@domain.ee,,1900-06-08,326.0,1935-10-04,
81,1161,19,1903-07-28,1903-08-02,user_1161_19,pwd6003,549,Lisainfo isikule 1161,87,,,,,user_1161_19@domain.ee,,1900-02-01,222.0,1935-11-02,
82,1175,25,1983-01-30,1983-01-30,user_1175_25,pwd6725,550,Lisainfo isikule 1175,39,,,,,user_1175_25@domain.ee,271.0,1975-10-01,,,
83,1194,6,2018-08-11,2018-08-17,user_1194_6,pwd5213,549,Lisainfo isikule 1194,199,,,,,user_1194_6@domain.ee,330.0,2014-01-24,,,
84,1207,6,1953-10-16,1953-10-22,user_1207_6,pwd7497,549,Lisainfo isikule 1207,197,,,,,user_1207_6@domain.ee,44.0,1922-10-27,214.0,1944-05-15,
85,1216,45,1990-08-14,1990-08-14,user_1216_45,pwd1221,549,Lisainfo isikule 1216,178,,,,,user_1216_45@domain.ee,265.0,1919-09-10,181.0,1999-04-14,
86,1235,42,1980-04-08,1980-04-15,user_1235_42,pwd1282,549,Lisainfo isikule 1235,194,,,,,user_1235_42@domain.ee,280.0,1942-08-04,142.0,2015-05-31,
87,1244,31,1932-05-18,1932-05-21,user_1244_31,pwd8004,549,Lisainfo isikule 1244,199,,,,,user_1244_31@domain.ee,75.0,1907-05-19,,,
88,1261,42,1937-07-08,1937-07-12,user_1261_42,pwd2894,549,Lisainfo isikule 1261,87,,,,,user_1261_42@domain.ee,219.0,1912-05-19,210.0,2000-12-25,
89,1296,38,1982-11-12,1982-11-18,user_1296_38,pwd8161,550,Lisainfo isikule 1296,20,,,,,user_1296_38@domain.ee,342.0,1903-10-19,,,
90,1301,19,1903-05-31,1903-06-01,user_1301_19,pwd3008,550,Lisainfo isikule 1301,135,,,,,user_1301_19@domain.ee,340.0,1902-02-20,47.0,1950-04-01,
91,1317,46,1942-11-02,1942-11-05,user_1317_46,pwd9326,550,Lisainfo isikule 1317,170,,,,,user_1317_46@domain.ee,100.0,1925-12-04,222.0,1935-12-28,
92,1339,32,2005-08-28,2005-09-03,user_1339_32,pwd4691,550,Lisainfo isikule 1339,22,,,,,user_1339_32@domain.ee,296.0,1957-06-04,,,
93,1354,40,1962-12-23,1962-12-23,user_1354_40,pwd9247,549,Lisainfo isikule 1354,123,,,,,user_1354_40@domain.ee,202.0,1933-03-30,318.0,1993-12-21,
94,1363,16,1917-09-05,1917-09-08,user_1363_16,pwd4659,549,Lisainfo isikule 1363,188,,,,,user_1363_16@domain.ee,81.0,1916-04-02,,,
95,1376,28,1988-02-20,1988-02-24,user_1376_28,pwd7359,550,Lisainfo isikule 1376,137,,,,,user_1376_28@domain.ee,54.0,1983-09-09,,,2018-01-31
96,1378,4,1935-07-15,1935-07-16,user_1378_4,pwd7010,549,Lisainfo isikule 1378,183,,,,,user_1378_4@domain.ee,181.0,1930-05-04,156.0,1949-12-02,
97,1383,42,1955-05-24,1955-05-27,user_1383_42,pwd7601,549,Lisainfo isikule 1383,189,,,,,user_1383_42@domain.ee,98.0,1925-02-08,,,
98,1399,22,1911-10-18,1911-10-25,user_1399_22,pwd8981,549,Lisainfo isikule 1399,169,,,,,user_1399_22@domain.ee,166.0,1900-11-08,210.0,1976-08-12,
99,1409,8,1972-01-25,1972-01-29,user_1409_8,pwd8969,549,Lisainfo isikule 1409,21,,,,,user_1409_8@domain.ee,166.0,1916-06-30,250.0,1958-04-17,
100,1414,46,1906-10-31,1906-11-06,user_1414_46,pwd8872,549,Lisainfo isikule 1414,119,,,,,user_1414_46@domain.ee,90.0,1903-07-09,29.0,2010-10-16,
101,1415,34,2010-03-13,2010-03-19,user_1415_34,pwd5926,550,Lisainfo isikule 1415,29,,,,,user_1415_34@domain.ee,296.0,1990-09-10,183.0,2008-02-08,2018-04-04
102,1426,42,1968-12-10,1968-12-11,user_1426_42,pwd4061,549,Lisainfo isikule 1426,140,,,,,user_1426_42@domain.ee,182.0,1951-10-14,265.0,1959-08-02,
103,1445,41,1986-04-10,1986-04-16,user_1445_41,pwd6915,549,Lisainfo isikule 1445,143,,,,,user_1445_41@domain.ee,47.0,1972-07-27,13.0,2025-01-24,
104,1467,42,1940-01-20,1940-01-26,user_1467_42,pwd5290,549,Lisainfo isikule 1467,148,,,,,user_1467_42@domain.ee,333.0,1938-10-18,,,
105,1474,19,2012-12-12,2012-12-13,user_1474_19,pwd7623,549,Lisainfo isikule 1474,30,,,,,user_1474_19@domain.ee,154.0,1985-03-16,130.0,2002-11-28,
106,1499,50,1939-02-09,1939-02-14,user_1499_50,pwd7259,549,Lisainfo isikule 1499,71,,,,,user_1499_50@domain.ee,194.0,1929-12-11,,,
107,1516,1,1974-08-27,1974-08-29,user_1516_1,pwd6621,549,Lisainfo isikule 1516,135,,,,,user_1516_1@domain.ee,333.0,1969-06-03,98.0,1970-05-24,
108,1518,31,1962-09-30,1962-10-07,user_1518_31,pwd5024,549,Lisainfo isikule 1518,65,,,,,user_1518_31@domain.ee,37.0,1926-01-02,,,
109,1539,6,1907-01-13,1907-01-18,user_1539_6,pwd5755,550,Lisainfo isikule 1539,142,,,,,user_1539_6@domain.ee,207.0,1906-02-16,134.0,1921-06-16,
110,1553,29,1933-06-14,1933-06-16,user_1553_29,pwd8249,550,Lisainfo isikule 1553,129,,,,,user_1553_29@domain.ee,166.0,1909-05-29,142.0,1998-07-12,
111,1555,20,2023-01-06,2023-01-09,user_1555_20,pwd9223,549,Lisainfo isikule 1555,20,,,,,user_1555_20@domain.ee,82.0,1999-12-05,85.0,2021-03-07,
112,1558,30,1988-02-12,1988-02-13,user_1558_30,pwd4701,549,Lisainfo isikule 1558,72,,,,,user_1558_30@domain.ee,222.0,1903-11-26,22.0,1992-01-29,
113,1574,34,1978-05-15,1978-05-19,user_1574_34,pwd5287,549,Lisainfo isikule 1574,27,,,,,user_1574_34@domain.ee,44.0,1942-07-03,,,
114,1600,7,1948-10-21,1948-10-21,user_1600_7,pwd2018,549,Lisainfo isikule 1600,7,,,,,user_1600_7@domain.ee,207.0,1901-05-19,,,
115,1605,34,1942-11-06,1942-11-08,user_1605_34,pwd5526,549,Lisainfo isikule 1605,140,,,,,user_1605_34@domain.ee,340.0,1926-05-31,109.0,1927-11-08,
116,1624,8,1944-05-12,1944-05-14,user_1624_8,pwd2278,549,Lisainfo isikule 1624,148,,,,,user_1624_8@domain.ee,216.0,1906-09-24,181.0,1995-01-05,
117,1640,38,1947-10-31,1947-11-07,user_1640_38,pwd5734,549,Lisainfo isikule 1640,82,,,,,user_1640_38@domain.ee,90.0,1933-11-11,302.0,1989-07-12,
118,1666,17,2002-11-20,2002-11-25,user_1666_17,pwd9934,550,Lisainfo isikule 1666,190,,,,,user_1666_17@domain.ee,278.0,1935-03-08,85.0,2006-06-12,
119,1671,40,2011-06-08,2011-06-12,user_1671_40,pwd1729,549,Lisainfo isikule 1671,161,,,,,user_1671_40@domain.ee,240.0,2005-12-18,112.0,2017-07-09,
120,1678,20,2023-05-20,2023-05-22,user_1678_20,pwd1244,549,Lisainfo isikule 1678,130,,,,,user_1678_20@domain.ee,308.0,1940-03-27,91.0,1987-01-30,
121,1686,46,1967-06-12,1967-06-13,user_1686_46,pwd9760,549,Lisainfo isikule 1686,162,,,,,user_1686_46@domain.ee,159.0,1952-02-04,183.0,1958-06-01,
122,1689,26,1972-05-04,1972-05-05,user_1689_26,pwd3585,549,Lisainfo isikule 1689,186,,,,,user_1689_26@domain.ee,25.0,1964-05-03,,,
123,1703,32,2020-12-11,2020-12-17,user_1703_32,pwd7173,549,Lisainfo isikule 1703,90,,,,,user_1703_32@domain.ee,20.0,1981-10-24,,,
124,1728,25,1996-09-19,1996-09-24,user_1728_25,pwd8371,550,Lisainfo isikule 1728,113,,,,,user_1728_25@domain.ee,117.0,1957-05-17,,,
125,1821,2,1988-01-01,1988-01-04,user_1821_2,pwd9306,549,Lisainfo isikule 1821,4,,,,,user_1821_2@domain.ee,222.0,1903-07-10,,,
126,1823,34,1973-10-31,1973-11-03,user_1823_34,pwd5066,549,Lisainfo isikule 1823,199,,,,,user_1823_34@domain.ee,172.0,1942-08-12,20.0,2023-06-08,
127,1834,18,1942-11-07,1942-11-11,user_1834_18,pwd3878,549,Lisainfo isikule 1834,111,,,,,user_1834_18@domain.ee,248.0,1922-05-17,,,
128,1838,15,1960-08-14,1960-08-21,user_1838_15,pwd9923,550,Lisainfo isikule 1838,94,,,,,user_1838_15@domain.ee,308.0,1923-06-19,,,1992-11-10
129,1843,42,1927-11-20,1927-11-27,user_1843_42,pwd4442,550,Lisainfo isikule 1843,34,,,,,user_1843_42@domain.ee,166.0,1902-12-29,90.0,1903-07-15,
130,1852,7,1992-03-21,1992-03-23,user_1852_7,pwd9321,549,Lisainfo isikule 1852,134,,,,,user_1852_7@domain.ee,133.0,1902-09-14,,,
131,1873,22,2021-04-30,2021-05-05,user_1873_22,pwd9190,549,Lisainfo isikule 1873,101,,,,,user_1873_22@domain.ee,282.0,2010-12-23,,,
132,1930,38,1993-10-10,1993-10-17,user_1930_38,pwd1522,550,Lisainfo isikule 1930,112,,,,,user_1930_38@domain.ee,306.0,1912-04-12,,,
133,1942,36,1901-10-28,1901-10-31,user_1942_36,pwd2361,549,Lisainfo isikule 1942,88,,,,,user_1942_36@domain.ee,166.0,1900-10-16,154.0,1955-10-18,
134,1955,8,1914-02-17,1914-02-24,user_1955_8,pwd8440,549,Lisainfo isikule 1955,0,,,,,user_1955_8@domain.ee,198.0,1912-03-31,,,
135,1964,25,1971-03-27,1971-03-28,user_1964_25,pwd3594,549,Lisainfo isikule 1964,75,,,,,user_1964_25@domain.ee,308.0,1954-09-11,,,
136,1970,43,2005-02-06,2005-02-10,user_1970_43,pwd7122,549,Lisainfo isikule 1970,185,,,,,user_1970_43@domain.ee,306.0,1908-06-09,,,
137,1980,30,1974-12-03,1974-12-09,user_1980_30,pwd3924,550,Lisainfo isikule 1980,68,,,,,user_1980_30@domain.ee,166.0,1900-12-22,,,
138,1988,39,2000-06-01,2000-06-01,user_1988_39,pwd5040,549,Lisainfo isikule 1988,36,,,,,user_1988_39@domain.ee,38.0,1918-02-17,3.0,1989-07-26,
139,2007,15,1911-02-07,1911-02-08,user_2007_15,pwd2945,549,Lisainfo isikule 2007,118,,,,,user_2007_15@domain.ee,207.0,1901-04-01,217.0,1961-02-08,
140,2026,4,2002-09-07,2002-09-09,user_2026_4,pwd1738,549,Lisainfo isikule 2026,121,,,,,user_2026_4@domain.ee,340.0,1914-02-02,,,
141,2070,50,1998-09-29,1998-09-29,user_2070_50,pwd2290,549,Lisainfo isikule 2070,62,,,,,user_2070_50@domain.ee,292.0,1918-10-11,,,
142,2082,41,1971-05-05,1971-05-05,user_2082_41,pwd6119,549,Lisainfo isikule 2082,98,,,,,user_2082_41@domain.ee,133.0,1909-10-12,,,
143,2103,13,1984-12-29,1984-12-30,user_2103_13,pwd8904,550,Lisainfo isikule 2103,180,,,,,user_2103_13@domain.ee,218.0,1923-01-14,,,
144,2109,22,1961-12-26,1961-12-31,user_2109_22,pwd4003,549,Lisainfo isikule 2109,63,,,,,user_2109_22@domain.ee,194.0,1918-07-10,,,
145,2126,22,2005-04-30,2005-05-04,user_2126_22,pwd2427,549,Lisainfo isikule 2126,89,,,,,user_2126_22@domain.ee,122.0,1973-09-08,222.0,1975-10-18,
146,2156,40,1968-07-07,1968-07-13,user_2156_40,pwd9338,549,Lisainfo isikule 2156,102,,,,,user_2156_40@domain.ee,328.0,1929-11-09,343.0,2009-12-17,
147,2169,17,1946-12-30,1947-01-01,user_2169_17,pwd6194,550,Lisainfo isikule 2169,166,,,,,user_2169_17@domain.ee,,1900-02-17,208.0,2001-10-21,
148,2179,50,1965-08-27,1965-08-31,user_2179_50,pwd7436,549,Lisainfo isikule 2179,166,,,,,user_2179_50@domain.ee,166.0,1939-01-16,,,
149,2186,47,2012-03-14,2012-03-21,user_2186_47,pwd2623,549,Lisainfo isikule 2186,53,,,,,user_2186_47@domain.ee,335.0,1947-07-04,272.0,2018-12-26,
150,2201,29,1949-03-04,1949-03-08,user_2201_29,pwd8097,549,Lisainfo isikule 2201,70,,,,,user_2201_29@domain.ee,216.0,1905-10-26,,,
151,2214,25,1962-02-07,1962-02-07,user_2214_25,pwd4216,549,Lisainfo isikule 2214,89,,,,,user_2214_25@domain.ee,81.0,1906-10-23,,,
152,2220,23,1967-12-09,1967-12-11,user_2220_23,pwd5218,549,Lisainfo isikule 2220,163,,,,,user_2220_23@domain.ee,37.0,1965-08-27,172.0,1974-06-22,
153,2222,30,1936-09-08,1936-09-15,user_2222_30,pwd1565,549,Lisainfo isikule 2222,76,,,,,user_2222_30@domain.ee,44.0,1927-09-26,,,
154,2230,41,1931-01-14,1931-01-18,user_2230_41,pwd4858,550,Lisainfo isikule 2230,132,,,,,user_2230_41@domain.ee,80.0,1911-11-26,,,
155,2243,7,2009-06-15,2009-06-17,user_2243_7,pwd6937,549,Lisainfo isikule 2243,12,,,,,user_2243_7@domain.ee,170.0,2008-09-04,310.0,2017-04-09,
156,2250,37,1942-11-28,1942-11-30,user_2250_37,pwd7406,549,Lisainfo isikule 2250,32,,,,,user_2250_37@domain.ee,328.0,1914-04-05,,,
157,2253,13,1999-02-13,1999-02-20,user_2253_13,pwd2961,549,Lisainfo isikule 2253,28,,,,,user_2253_13@domain.ee,98.0,1930-04-18,,,
158,2258,48,1919-05-29,1919-06-01,user_2258_48,pwd1435,549,Lisainfo isikule 2258,109,,,,,user_2258_48@domain.ee,90.0,1903-11-20,,,
159,2260,2,1920-03-21,1920-03-23,user_2260_2,pwd2899,549,Lisainfo isikule 2260,106,,,,,user_2260_2@domain.ee,219.0,1911-01-29,,,
160,2279,7,1971-10-09,1971-10-15,user_2279_7,pwd2398,549,Lisainfo isikule 2279,24,,,,,user_2279_7@domain.ee,76.0,1942-05-18,188.0,2024-07-09,
