DokID,KdIDDokumendiLiik,DokNumber,DokSeeria,DokValjaantudKpv,DokKehtivKuniKpv,DokKehtetuAlatesKpv,AsIDValjaandjaAsutus,KaIDKanne,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,KdIDDokumendiStaatus,DokIDVanem,DokKehtivAlates,KdIDRiik,DokAsutuseTekst,AsIDHaldaja,DokMarkus,DokValjastajaIsikukood,DokValjastajaNimi,MKaID,DokSkaneeritud,AsIDAsutusTellija,LRProtseduurKirjeldus,DokSalastatud,KdIDDokAlguseAlus,AsID
11,562,ELUKOHATEADE-0000010,S-352,2014-05-09 00:00:00.000000,,,15,,74.0,1993-08-08,76.0,1997-02-09 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,9,,,,,,,,,,28
12,562,ELUKOHATEADE-0000011,S-193,2021-08-26 19:46:15.045953,,,45,,190.0,2020-04-01,37.0,2023-05-10 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,38,,,,,,,,,,42
13,562,ELUKOHATEADE-0000012,S-192,2021-08-26 19:46:15.045953,2024-11-05 19:46:15.045953,2024-11-05 19:46:15.045953,15,,329.0,2018-02-12,108.0,2024-11-05 19:46:15.045953,,550,,2021-08-26 19:46:15.045953,,,2,,,,,,,,,,24
14,562,ELUKOHATEADE-0000013,S-796,2021-08-26 19:46:15.045953,,,16,,301.0,2011-11-21,340.0,2018-09-12 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,25,,,,,,,,,,47
15,562,ELUKOHATEADE-0000014,S-757,2021-08-26 19:46:15.045953,,,26,,274.0,1991-08-12,313.0,2008-04-18 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,37,,,,,,,,,,16
16,562,ELUKOHATEADE-0000015,S-351,2019-09-26 19:46:15.045953,,,48,,31.0,2000-03-16,233.0,2015-02-23 00:00:00.000000,,549,,2019-09-26 19:46:15.045953,,,42,,,,,,,,,,3
17,562,ELUKOHATEADE-0000016,S-345,2019-09-26 19:46:15.045953,,,1,,64.0,2009-06-20,71.0,2024-08-16 00:00:00.000000,,549,,2019-09-26 19:46:15.045953,,,22,,,,,,,,,,28
18,562,ELUKOHATEADE-0000017,S-269,1994-07-06 00:00:00.000000,2001-12-21 00:00:00,2024-05-20 00:00:00,19,,302.0,1993-06-23,158.0,2024-05-20 00:00:00.000000,,550,,1994-07-06 00:00:00.000000,,,1,,,,,,,,,,42
19,562,ELUKOHATEADE-0000018,S-487,2001-12-22 00:00:00.000000,,,6,,156.0,1993-03-18,154.0,2012-06-06 00:00:00.000000,,549,,2001-12-22 00:00:00.000000,,,2,,,,,,,,,,37
20,562,ELUKOHATEADE-0000019,S-819,1994-07-06 00:00:00.000000,2001-12-21 00:00:00,2001-12-21 00:00:00,5,,175.0,1991-10-27,147.0,2001-12-21 00:00:00.000000,,550,,1994-07-06 00:00:00.000000,,,37,,,,,,,,,,23
21,562,ELUKOHATEADE-0000020,S-977,2001-12-22 00:00:00.000000,,,5,,114.0,1999-08-30,188.0,2022-06-02 00:00:00.000000,,549,,2001-12-22 00:00:00.000000,,,25,,,,,,,,,,7
22,562,ELUKOHATEADE-0000021,S-687,1994-07-06 00:00:00.000000,2001-12-21 00:00:00,2001-12-21 00:00:00,45,,6.0,1992-04-23,147.0,2001-12-21 00:00:00.000000,,550,,1994-07-06 00:00:00.000000,,,35,,,,,,,,,,4
23,562,ELUKOHATEADE-0000022,S-538,2001-12-22 00:00:00.000000,,,25,,117.0,1993-10-24,82.0,2002-06-20 00:00:00.000000,,549,,2001-12-22 00:00:00.000000,,,50,,,,,,,,,,38
24,562,ELUKOHATEADE-0000023,S-666,1990-01-01 00:00:00.000000,2002-11-26 00:00:00,2002-11-26 00:00:00,5,,34.0,1990-01-01,41.0,2002-11-26 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,36,,,,,,,,,,2
25,562,ELUKOHATEADE-0000024,S-995,2002-11-27 00:00:00.000000,,,4,,213.0,1996-09-16,170.0,2012-12-29 00:00:00.000000,,549,,2002-11-27 00:00:00.000000,,,15,,,,,,,,,,6
26,562,ELUKOHATEADE-0000025,S-494,1990-01-01 00:00:00.000000,2002-11-26 00:00:00,2002-11-26 00:00:00,42,,34.0,1990-01-01,41.0,2002-11-26 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,5,,,,,,,,,,2
27,562,ELUKOHATEADE-0000026,S-391,2002-11-27 00:00:00.000000,,,11,,93.0,1994-06-20,247.0,1997-05-29 00:00:00.000000,,549,,2002-11-27 00:00:00.000000,,,49,,,,,,,,,,40
28,562,ELUKOHATEADE-0000027,S-199,1990-01-01 00:00:00.000000,1994-10-14 00:00:00,1994-10-14 00:00:00,34,,34.0,1990-01-01,291.0,1994-10-14 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,39,,,,,,,,,,2
29,562,ELUKOHATEADE-0000028,S-419,1994-10-15 00:00:00.000000,,,5,,292.0,1993-12-03,93.0,1999-10-10 00:00:00.000000,,549,,1994-10-15 00:00:00.000000,,,21,,,,,,,,,,45
30,562,ELUKOHATEADE-0000029,S-913,1990-01-01 00:00:00.000000,1994-10-14 00:00:00,1994-10-14 00:00:00,42,,34.0,1990-01-01,291.0,1994-10-14 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,41,,,,,,,,,,2
31,562,ELUKOHATEADE-0000030,S-659,1994-10-15 00:00:00.000000,,,30,,266.0,1993-11-05,85.0,2003-05-15 00:00:00.000000,,549,,1994-10-15 00:00:00.000000,,,14,,,,,,,,,,6
32,562,ELUKOHATEADE-0000031,S-495,2000-04-29 00:00:00.000000,,,3,,164.0,1990-05-17,135.0,2021-01-02 00:00:00.000000,,549,,2000-04-29 00:00:00.000000,,,16,,,,,,,,,,10
33,562,ELUKOHATEADE-0000032,S-703,1999-10-30 00:00:00.000000,,,29,,68.0,1991-12-21,318.0,2014-08-26 00:00:00.000000,,549,,1999-10-30 00:00:00.000000,,,39,,,,,,,,,,37
34,562,ELUKOHATEADE-0000033,S-467,1999-10-30 00:00:00.000000,,,30,,211.0,1993-06-19,70.0,2024-08-06 00:00:00.000000,,549,,1999-10-30 00:00:00.000000,,,15,,,,,,,,,,44
35,562,ELUKOHATEADE-0000034,S-476,2000-04-29 00:00:00.000000,,,28,,36.0,1998-03-19,97.0,2018-12-02 00:00:00.000000,,549,,2000-04-29 00:00:00.000000,,,48,,,,,,,,,,12
36,562,ELUKOHATEADE-0000035,S-403,2000-04-29 00:00:00.000000,,,42,,32.0,1993-08-31,214.0,2021-12-10 00:00:00.000000,,549,,2000-04-29 00:00:00.000000,,,7,,,,,,,,,,18
37,562,ELUKOHATEADE-0000036,S-478,2000-04-29 00:00:00.000000,,,9,,248.0,1999-10-30,247.0,2013-08-23 00:00:00.000000,,549,,2000-04-29 00:00:00.000000,,,3,,,,,,,,,,48
38,562,ELUKOHATEADE-0000037,S-379,1995-01-10 19:46:15.045953,2012-07-05 00:00:00,2020-01-29 00:00:00,48,,151.0,1994-08-16,281.0,2020-01-29 00:00:00.000000,,550,,1995-01-10 19:46:15.045953,,,1,,,,,,,,,,25
39,562,ELUKOHATEADE-0000038,S-810,2012-07-06 00:00:00.000000,2014-05-10 00:00:00,2014-05-10 00:00:00,6,,187.0,2003-03-29,316.0,2014-05-10 00:00:00.000000,,550,,2012-07-06 00:00:00.000000,,,13,,,,,,,,,,5
40,562,ELUKOHATEADE-0000039,S-624,2011-07-14 00:00:00.000000,,,17,,114.0,2011-01-04,211.0,2024-04-24 00:00:00.000000,,549,,2014-05-11 00:00:00.000000,,,47,,,,,,,,,,7
41,562,ELUKOHATEADE-0000040,S-831,2003-03-16 19:46:15.045953,,,9,,6.0,1995-11-18,21.0,2002-11-13 00:00:00.000000,,549,,2003-03-16 19:46:15.045953,,,24,,,,,,,,,,4
42,562,ELUKOHATEADE-0000041,S-928,2003-03-16 19:46:15.045953,2024-01-17 19:46:15.045953,2024-11-30 19:46:15.045953,9,,14.0,1990-04-25,193.0,2024-11-30 19:46:15.045953,,550,,2003-03-16 19:46:15.045953,,,11,,,,,,,,,,33
43,562,ELUKOHATEADE-0000042,S-340,2003-03-16 19:46:15.045953,2024-11-21 19:46:15.045953,2024-12-09 19:46:15.045953,49,,209.0,1992-10-09,87.0,2024-12-09 19:46:15.045953,,550,,2003-03-16 19:46:15.045953,,,26,,,,,,,,,,7
44,562,ELUKOHATEADE-0000043,S-459,2003-03-16 19:46:15.045953,,,21,,345.0,1998-05-02,175.0,2004-12-19 00:00:00.000000,,549,,2003-03-16 19:46:15.045953,,,34,,,,,,,,,,9
45,562,ELUKOHATEADE-0000044,S-852,1990-01-01 00:00:00.000000,1991-02-15 00:00:00,1991-02-15 00:00:00,13,,34.0,1990-01-01,44.0,1991-02-15 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,42,,,,,,,,,,2
46,562,ELUKOHATEADE-0000045,S-537,1991-02-16 00:00:00.000000,,,7,,162.0,1990-03-11,311.0,2005-10-16 00:00:00.000000,,549,,1991-02-16 00:00:00.000000,,,41,,,,,,,,,,24
47,562,ELUKOHATEADE-0000046,S-816,1994-11-03 00:00:00.000000,2017-05-14 00:00:00,2017-05-14 00:00:00,16,,34.0,1990-01-01,309.0,2017-05-14 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,32,,,,,,,,,,2
48,562,ELUKOHATEADE-0000047,S-813,2017-05-15 00:00:00.000000,,,27,,279.0,1994-06-11,296.0,2003-09-17 00:00:00.000000,,549,,2017-05-15 00:00:00.000000,,,31,,,,,,,,,,50
49,562,ELUKOHATEADE-0000048,S-860,1990-01-01 00:00:00.000000,2017-05-14 00:00:00,2017-05-14 00:00:00,8,,34.0,1990-01-01,309.0,2017-05-14 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,14,,,,,,,,,,2
50,562,ELUKOHATEADE-0000049,S-843,2017-05-15 00:00:00.000000,,,41,,213.0,2003-08-27,9.0,2011-12-17 00:00:00.000000,,549,,2017-05-15 00:00:00.000000,,,12,,,,,,,,,,6
51,562,ELUKOHATEADE-0000050,S-178,1990-01-01 00:00:00.000000,2017-05-14 00:00:00,2017-05-14 00:00:00,7,,34.0,1990-01-01,309.0,2017-05-14 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,34,,,,,,,,,,2
52,562,ELUKOHATEADE-0000051,S-686,2017-05-15 00:00:00.000000,,,36,,245.0,2014-03-26,327.0,2024-10-27 00:00:00.000000,,549,,2017-05-15 00:00:00.000000,,,14,,,,,,,,,,41
53,562,ELUKOHATEADE-0000052,S-683,1990-01-01 00:00:00.000000,2017-05-14 00:00:00,2017-05-14 00:00:00,14,,34.0,1990-01-01,309.0,2017-05-14 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,15,,,,,,,,,,2
54,562,ELUKOHATEADE-0000053,S-292,2017-05-15 00:00:00.000000,,,34,,86.0,2002-07-20,156.0,2005-05-20 00:00:00.000000,,549,,2017-05-15 00:00:00.000000,,,42,,,,,,,,,,42
55,562,ELUKOHATEADE-0000054,S-931,1990-01-01 00:00:00.000000,2017-05-14 00:00:00,2017-05-14 00:00:00,28,,34.0,1990-01-01,309.0,2017-05-14 00:00:00.000000,,550,,1990-01-01 00:00:00.000000,,,2,,,,,,,,,,2
56,562,ELUKOHATEADE-0000055,S-942,2017-05-15 00:00:00.000000,,,33,,129.0,2006-04-09,302.0,2023-04-10 00:00:00.000000,,549,,2017-05-15 00:00:00.000000,,,10,,,,,,,,,,42
57,562,ELUKOHATEADE-0000056,S-849,2008-04-07 19:46:15.045953,2018-12-04 00:00:00,2018-12-04 00:00:00,33,,306.0,1991-02-19,152.0,2018-12-04 00:00:00.000000,,550,,2008-04-07 19:46:15.045953,,,41,,,,,,,,,,18
58,562,ELUKOHATEADE-0000057,S-882,2018-12-05 00:00:00.000000,2019-02-05 00:00:00,2019-02-05 00:00:00,21,,340.0,2015-04-30,318.0,2019-02-05 00:00:00.000000,,550,,2018-12-05 00:00:00.000000,,,42,,,,,,,,,,37
59,562,ELUKOHATEADE-0000058,S-631,2019-02-06 00:00:00.000000,,,27,,162.0,2014-11-11,340.0,2025-01-10 00:00:00.000000,,549,,2019-02-06 00:00:00.000000,,,12,,,,,,,,,,24
60,562,ELUKOHATEADE-0000059,S-617,2006-03-14 00:00:00.000000,,,46,,219.0,1995-01-26,102.0,2011-08-19 00:00:00.000000,,549,,1998-07-08 00:00:00.000000,,,36,,,,,,,,,,21
61,562,ELUKOHATEADE-0000060,S-637,1998-07-08 00:00:00.000000,,,50,,77.0,1992-08-12,42.0,2016-12-16 00:00:00.000000,,549,,1998-07-08 00:00:00.000000,,,29,,,,,,,,,,9
62,562,ELUKOHATEADE-0000061,S-568,2008-04-07 19:46:15.045953,2018-12-04 00:00:00,2023-10-23 00:00:00,27,,13.0,1993-04-23,165.0,2023-10-23 00:00:00.000000,,550,,2008-04-07 19:46:15.045953,,,36,,,,,,,,,,24
63,562,ELUKOHATEADE-0000062,S-528,2018-12-05 00:00:00.000000,2019-02-05 00:00:00,2019-02-05 00:00:00,17,,179.0,2002-06-09,318.0,2019-02-05 00:00:00.000000,,550,,2018-12-05 00:00:00.000000,,,18,,,,,,,,,,46
64,562,ELUKOHATEADE-0000063,S-771,2019-02-06 00:00:00.000000,,,23,,245.0,2014-03-26,286.0,2016-06-20 00:00:00.000000,,549,,2019-02-06 00:00:00.000000,,,37,,,,,,,,,,41
65,562,ELUKOHATEADE-0000064,S-379,2008-04-07 19:46:15.045953,2018-12-04 00:00:00,2023-03-15 00:00:00,2,,151.0,1992-06-19,2.0,2023-03-15 00:00:00.000000,,550,,2008-04-07 19:46:15.045953,,,45,,,,,,,,,,25
66,562,ELUKOHATEADE-0000065,S-891,2018-12-05 00:00:00.000000,2019-02-05 00:00:00,2019-02-05 00:00:00,31,,278.0,2006-01-26,318.0,2019-02-05 00:00:00.000000,,550,,2018-12-05 00:00:00.000000,,,2,,,,,,,,,,34
67,562,ELUKOHATEADE-0000066,S-141,2019-02-06 00:00:00.000000,,,32,,279.0,1990-09-16,237.0,2016-07-31 00:00:00.000000,,549,,2019-02-06 00:00:00.000000,,,24,,,,,,,,,,50
68,562,ELUKOHATEADE-0000067,S-256,2008-04-07 19:46:15.045953,2018-12-04 00:00:00,2018-12-04 00:00:00,41,,190.0,1992-11-04,152.0,2018-12-04 00:00:00.000000,,550,,2008-04-07 19:46:15.045953,,,17,,,,,,,,,,42
69,562,ELUKOHATEADE-0000068,S-574,2018-12-05 00:00:00.000000,2019-02-05 00:00:00,2019-02-05 00:00:00,25,,323.0,1992-11-07,318.0,2019-02-05 00:00:00.000000,,550,,2018-12-05 00:00:00.000000,,,35,,,,,,,,,,40
70,562,ELUKOHATEADE-0000069,S-944,2019-02-06 00:00:00.000000,,,26,,266.0,2013-01-08,94.0,2017-08-31 00:00:00.000000,,549,,2019-02-06 00:00:00.000000,,,13,,,,,,,,,,6
71,562,ELUKOHATEADE-0000070,S-737,1991-12-13 00:00:00.000000,2005-06-23 00:00:00,2005-06-23 00:00:00,26,,112.0,1990-03-04,196.0,2005-06-23 00:00:00.000000,,550,,1991-12-13 00:00:00.000000,,,23,,,,,,,,,,30
72,562,ELUKOHATEADE-0000071,S-526,2005-06-24 00:00:00.000000,,,44,,313.0,1999-07-25,81.0,2016-05-23 00:00:00.000000,,549,,2005-06-24 00:00:00.000000,,,34,,,,,,,,,,22
73,562,ELUKOHATEADE-0000072,S-352,1991-12-13 00:00:00.000000,2005-06-23 00:00:00,2005-06-23 00:00:00,18,,10.0,1991-05-18,196.0,2005-06-23 00:00:00.000000,,550,,1991-12-13 00:00:00.000000,,,35,,,,,,,,,,34
74,562,ELUKOHATEADE-0000073,S-383,2005-06-24 00:00:00.000000,,,21,,38.0,1997-03-23,70.0,2012-06-28 00:00:00.000000,,549,,2005-06-24 00:00:00.000000,,,16,,,,,,,,,,9
75,562,ELUKOHATEADE-0000074,S-936,2019-06-05 19:46:15.045953,,,13,,198.0,2007-02-01,20.0,2019-10-18 00:00:00.000000,,549,,2019-06-05 19:46:15.045953,,,42,,,,,,,,,,9
76,562,ELUKOHATEADE-0000075,S-294,2019-06-05 19:46:15.045953,,,14,,79.0,2018-01-02,35.0,2022-09-04 00:00:00.000000,,549,,2019-06-05 19:46:15.045953,,,17,,,,,,,,,,11
77,562,ELUKOHATEADE-0000076,S-159,2019-06-05 19:46:15.045953,,,33,,247.0,2014-08-07,98.0,2019-08-03 00:00:00.000000,,549,,2019-06-05 19:46:15.045953,,,43,,,,,,,,,,16
78,562,ELUKOHATEADE-0000077,S-707,2003-03-26 00:00:00.000000,2014-07-27 00:00:00,2018-08-06 00:00:00,25,,248.0,1995-09-20,226.0,2018-08-06 00:00:00.000000,,550,,2003-03-26 00:00:00.000000,,,27,,,,,,,,,,48
79,562,ELUKOHATEADE-0000078,S-534,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,2022-09-19 19:46:15.045953,25,,213.0,1993-01-04,190.0,2022-09-19 19:46:15.045953,,550,,2014-07-28 00:00:00.000000,,,24,,,,,,,,,,6
80,562,ELUKOHATEADE-0000079,S-637,2003-03-26 00:00:00.000000,2014-07-27 00:00:00,2014-07-27 00:00:00,45,,317.0,2002-05-14,293.0,2014-07-27 00:00:00.000000,,550,,2003-03-26 00:00:00.000000,,,39,,,,,,,,,,35
81,562,ELUKOHATEADE-0000080,S-150,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,2021-01-31 19:46:15.045953,31,,256.0,2000-04-01,211.0,2021-01-31 19:46:15.045953,,550,,2014-07-28 00:00:00.000000,,,3,,,,,,,,,,9
82,562,ELUKOHATEADE-0000081,S-280,2003-03-26 00:00:00.000000,2014-07-27 00:00:00,2014-07-27 00:00:00,11,,159.0,2000-03-04,293.0,2014-07-27 00:00:00.000000,,550,,2003-03-26 00:00:00.000000,,,43,,,,,,,,,,2
83,562,ELUKOHATEADE-0000082,S-703,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,2021-01-31 19:46:15.045953,27,,333.0,2004-01-08,211.0,2021-01-31 19:46:15.045953,,550,,2014-07-28 00:00:00.000000,,,1,,,,,,,,,,33
84,562,ELUKOHATEADE-0000083,S-460,2003-03-26 00:00:00.000000,2014-07-27 00:00:00,2014-07-27 00:00:00,12,,49.0,1992-02-03,293.0,2014-07-27 00:00:00.000000,,550,,2003-03-26 00:00:00.000000,,,12,,,,,,,,,,6
85,562,ELUKOHATEADE-0000084,S-470,2014-07-28 00:00:00.000000,2021-01-31 19:46:15.045953,2021-01-31 19:46:15.045953,2,,252.0,2006-09-19,211.0,2021-01-31 19:46:15.045953,,550,,2014-07-28 00:00:00.000000,,,39,,,,,,,,,,12
86,562,ELUKOHATEADE-0000085,S-921,1992-09-10 00:00:00.000000,2017-11-19 00:00:00,2017-11-19 00:00:00,48,,220.0,1992-02-25,311.0,2017-11-19 00:00:00.000000,,550,,1992-09-10 00:00:00.000000,,,18,,,,,,,,,,24
87,562,ELUKOHATEADE-0000086,S-773,2017-11-20 00:00:00.000000,2025-04-28 19:46:15.045953,2025-04-28 19:46:15.045953,45,,54.0,2014-12-22,189.0,2025-04-28 19:46:15.045953,,550,,2017-11-20 00:00:00.000000,,,46,,,,,,,,,,35
88,562,ELUKOHATEADE-0000087,S-211,2001-04-28 19:46:15.045953,2020-01-21 00:00:00,2020-01-21 00:00:00,32,,316.0,1997-11-15,116.0,2020-01-21 00:00:00.000000,,550,,2001-04-28 19:46:15.045953,,,19,,,,,,,,,,6
89,562,ELUKOHATEADE-0000088,S-635,2020-01-22 00:00:00.000000,2025-04-28 19:46:15.045953,2025-04-28 19:46:15.045953,9,,334.0,2007-12-24,189.0,2025-04-28 19:46:15.045953,,550,,2020-01-22 00:00:00.000000,,,28,,,,,,,,,,5
90,562,ELUKOHATEADE-0000089,S-795,2001-04-28 19:46:15.045953,2020-01-21 00:00:00,2020-01-21 00:00:00,1,,191.0,1997-01-03,116.0,2020-01-21 00:00:00.000000,,550,,2001-04-28 19:46:15.045953,,,41,,,,,,,,,,22
91,562,ELUKOHATEADE-0000090,S-339,2020-01-22 00:00:00.000000,2025-01-03 19:46:15.045953,2025-01-03 19:46:15.045953,42,,98.0,1999-07-18,52.0,2025-01-03 19:46:15.045953,,550,,2020-01-22 00:00:00.000000,,,4,,,,,,,,,,22
92,562,ELUKOHATEADE-0000091,S-981,2001-04-28 19:46:15.045953,2014-11-18 19:46:15.045953,2014-11-18 19:46:15.045953,49,,116.0,2000-10-25,12.0,2014-11-18 19:46:15.045953,,550,,2001-04-28 19:46:15.045953,,,3,,,,,,,,,,8
93,562,ELUKOHATEADE-0000092,S-356,1992-09-10 00:00:00.000000,2017-11-19 00:00:00,2017-11-19 00:00:00,14,,277.0,1990-04-28,311.0,2017-11-19 00:00:00.000000,,550,,1992-09-10 00:00:00.000000,,,13,,,,,,,,,,20
94,562,ELUKOHATEADE-0000093,S-567,2017-11-20 00:00:00.000000,2025-04-28 19:46:15.045953,2025-04-28 19:46:15.045953,4,,166.0,2009-04-01,189.0,2025-04-28 19:46:15.045953,,550,,2017-11-20 00:00:00.000000,,,21,,,,,,,,,,34
95,562,ELUKOHATEADE-0000094,S-788,1992-09-10 00:00:00.000000,2017-11-19 00:00:00,2017-11-19 00:00:00,13,,85.0,1992-04-29,311.0,2017-11-19 00:00:00.000000,,550,,1992-09-10 00:00:00.000000,,,14,,,,,,,,,,45
96,562,ELUKOHATEADE-0000095,S-332,2017-11-20 00:00:00.000000,2022-11-20 19:46:15.045953,2025-01-21 19:46:15.045953,48,,209.0,2003-11-11,217.0,2025-01-21 19:46:15.045953,,550,,2017-11-20 00:00:00.000000,,,6,,,,,,,,,,7
97,562,ELUKOHATEADE-0000096,S-598,2011-10-08 00:00:00.000000,2020-01-21 00:00:00,2020-01-21 00:00:00,45,,10.0,1990-09-09,116.0,2020-01-21 00:00:00.000000,,550,,2001-04-28 19:46:15.045953,,,19,,,,,,,,,,34
98,562,ELUKOHATEADE-0000097,S-613,2020-01-22 00:00:00.000000,2025-04-28 19:46:15.045953,2025-04-28 19:46:15.045953,33,,201.0,2010-05-08,189.0,2025-04-28 19:46:15.045953,,550,,2020-01-22 00:00:00.000000,,,23,,,,,,,,,,4
99,562,ELUKOHATEADE-0000098,S-500,2001-09-25 19:46:15.045953,2003-12-24 00:00:00,2003-12-24 00:00:00,8,,86.0,2001-06-29,265.0,2003-12-24 00:00:00.000000,,550,,2001-09-25 19:46:15.045953,,,44,,,,,,,,,,42
100,562,ELUKOHATEADE-0000099,S-863,2003-12-25 00:00:00.000000,,,34,,326.0,2003-04-21,160.0,2010-09-28 00:00:00.000000,,549,,2003-12-25 00:00:00.000000,,,21,,,,,,,,,,16
101,562,ELUKOHATEADE-0000100,S-313,1996-12-31 00:00:00.000000,2013-06-16 19:46:15.045953,2013-06-16 19:46:15.045953,6,,326.0,1990-03-05,335.0,2013-06-16 19:46:15.045953,,550,,2001-09-25 19:46:15.045953,,,3,,,,,,,,,,16
102,562,ELUKOHATEADE-0000101,S-742,2001-09-25 19:46:15.045953,2003-12-24 00:00:00,2015-08-24 00:00:00,22,,53.0,1999-12-09,77.0,2015-08-24 00:00:00.000000,,550,,2001-09-25 19:46:15.045953,,,31,,,,,,,,,,42
103,562,ELUKOHATEADE-0000102,S-388,2003-12-25 00:00:00.000000,,,27,,7.0,1999-04-16,311.0,2023-11-14 00:00:00.000000,,549,,2003-12-25 00:00:00.000000,,,10,,,,,,,,,,42
104,562,ELUKOHATEADE-0000103,S-867,2013-08-05 00:00:00.000000,2003-12-24 00:00:00,2003-12-24 00:00:00,45,,107.0,1996-12-01,265.0,2003-12-24 00:00:00.000000,,550,,2001-09-25 19:46:15.045953,,,6,,,,,,,,,,1
105,562,ELUKOHATEADE-0000104,S-501,2003-12-25 00:00:00.000000,,,33,,263.0,1991-03-25,249.0,2010-01-17 00:00:00.000000,,549,,2003-12-25 00:00:00.000000,,,12,,,,,,,,,,17
106,562,ELUKOHATEADE-0000105,S-147,2001-09-25 19:46:15.045953,2003-12-24 00:00:00,2003-12-24 00:00:00,6,,151.0,1994-09-27,265.0,2003-12-24 00:00:00.000000,,550,,2001-09-25 19:46:15.045953,,,50,,,,,,,,,,25
107,562,ELUKOHATEADE-0000106,S-389,2003-12-25 00:00:00.000000,,,37,,4.0,1996-06-29,228.0,2000-08-12 00:00:00.000000,,549,,2003-12-25 00:00:00.000000,,,29,,,,,,,,,,32
