IsID,IsIsikukood,IsEesnimi,IsPerenimi,IsSurmaaeg,KdIDHaridus,KdIDEmakeel,KdIDRahvus,KdIDPerekonnaseis,KdIDKodakondsus,IsIsanimi,IsSynnijargneNimi,KdIDIsikuStaatus,KdIDKirjeStaatus,KdIDPohjus,KdIDSugu,isSynniaeg,IsSaabusEesti,IsLahkusEestist,IsSaabusKOViKpv,AKpID,IsEesnimiEri,IsPerenimiEri,IdKiht,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsID
11,50203104392,Andrei,Põld,,14,100,100,,100,Tarmo,Andrei,532,537,,MEES,2002-03-10 22:02:37.054267,,,2002-10-01 00:00:00.000000,446.0,Andrei,Põld,,4480.0,2002-03-10 22:02:37.054267,713.0,2015-05-01 22:02:37.054267,,42
12,60803024718,Anne,Jalakas,,22,100,100,,100,Andrei,Anne,532,537,,NAINE,2008-03-02 22:02:37.054267,,,,903.0,Anne,Jalakas,,1925.0,2008-03-02 22:02:37.054267,861.0,2024-06-03 22:02:37.054267,,16
13,36908107305,Ivan,Treier,,19,188,188,,188,Tõnu,Ivan,532,537,,MEES,1969-08-10 22:02:37.054267,2024-02-02 22:02:37.054267,,1990-01-01 00:00:00.000000,511.0,Ivan,Treier,,843.0,1969-08-10 22:02:37.054267,1982.0,1996-05-02 22:02:37.054267,,33
14,46903037303,Olga,Jakovlev,,34,111,111,,111,Oleg,Olga,532,537,,NAINE,1969-03-03 22:02:37.054267,1987-01-09 22:02:37.054267,,1990-01-01 00:00:00.000000,486.0,Olga,Jakovlev,,3105.0,1969-03-03 22:02:37.054267,6303.0,2000-01-23 22:02:37.054267,,26
15,50407105685,Vello,Frolov,,14,100,100,,100,Jaan,Vello,532,537,,MEES,2004-07-10 22:02:37.054267,,,2024-11-01 22:02:37.054267,793.0,Vello,Frolov,,4255.0,2004-07-10 22:02:37.054267,,,,8
16,52005035213,Mihhail,Oks,,2,100,100,,100,Urmas,Mihhail,532,537,,MEES,2020-05-03 22:02:37.054267,,,1990-01-01 00:00:00.000000,668.0,Mihhail,Oks,,3757.0,2020-05-03 22:02:37.054267,2326.0,2022-05-18 22:02:37.054267,,28
17,61508141846,Natalia,Kalm,,4,100,100,,100,Pavel,Natalia,532,537,,NAINE,2015-08-14 22:02:37.054267,,,1990-01-01 00:00:00.000000,903.0,Natalia,Kalm,,2164.0,2015-08-14 22:02:37.054267,2017.0,2015-09-02 22:02:37.054267,,31
18,50803035934,Sergei,Arula,,22,100,100,,100,Marko,Sergei,532,537,,MEES,2008-03-03 22:02:37.054267,,,2005-03-18 00:00:00.000000,557.0,Sergei,Arula,,331.0,2008-03-03 22:02:37.054267,,,,30
19,52307161488,Sander,Davõdov,,2,100,100,,100,Martin,Sander,532,537,,MEES,2023-07-16 22:02:37.054267,,,2007-03-06 00:00:00.000000,293.0,Sander,Davõdov,,2642.0,2023-07-16 22:02:37.054267,4606.0,2023-11-03 22:02:37.054267,,4
20,52404308332,Margus,Baranov,,2,100,100,,100,Artur,Margus,532,537,,MEES,2024-04-30 22:02:37.054267,,,2020-08-20 00:00:00.000000,793.0,Margus,Baranov,,398.0,2024-04-30 22:02:37.054267,,,,29
21,62405138407,Nadežda,Timofejev,,2,100,100,,100,Tõnu,Nadežda,532,537,,NAINE,2024-05-13 22:02:37.054267,,,2020-09-04 00:00:00.000000,725.0,Nadežda,Timofejev,,82.0,2024-05-13 22:02:37.054267,,,,19
22,32609257801,Jüri,Kallaste,1929-07-07 22:02:37.054267,25,261,261,,261,Sander,Jüri,533,539,,MEES,1926-09-25 22:02:37.054267,2021-04-11 22:02:37.054267,,,441.0,Jüri,Kallaste,,4937.0,1926-09-25 22:02:37.054267,903.0,2009-01-13 22:02:37.054267,,36
23,35402257124,Artur,Pihlak,,25,72,72,,72,Vladimir,Artur,532,537,,MEES,1954-02-25 22:02:37.054267,2004-10-04 22:02:37.054267,,2006-12-20 00:00:00.000000,899.0,Artur,Pihlak,,550.0,1954-02-25 22:02:37.054267,3470.0,1957-01-13 22:02:37.054267,,22
24,52505101087,Artur,Kostin,,2,100,100,,100,Alexander,Artur,532,537,,MEES,2025-05-10 22:02:37.054267,,,2010-11-14 00:00:00.000000,784.0,Artur,Kostin,,4524.0,2025-05-10 22:02:37.054267,1290.0,2025-05-11 22:02:37.054267,,16
25,50705066036,Dmitri,Ševtšenko,,19,100,100,,100,Valeri,Dmitri,532,537,,MEES,2007-05-06 22:02:37.054267,,,2010-10-16 00:00:00.000000,712.0,Dmitri,Ševtšenko,,1714.0,2007-05-06 22:02:37.054267,3953.0,2020-04-18 22:02:37.054267,,19
26,61203095337,Merike,Martinson,,10,213,213,,213,Martin,Merike,532,537,,NAINE,2012-03-09 22:02:37.054267,2023-05-10 22:02:37.054267,,2013-02-28 00:00:00.000000,784.0,Merike,Martinson,,3993.0,2012-03-09 22:02:37.054267,,,,46
27,62005032077,Mare,Talts,,2,100,100,,100,Nikolai,Mare,532,537,,NAINE,2020-05-03 22:02:37.054267,,,2019-09-05 00:00:00.000000,793.0,Mare,Talts,,3757.0,2020-05-03 22:02:37.054267,,,,28
28,44603282826,Eve,Pettai,,19,118,118,,118,Meelis,Eve,532,537,,NAINE,1946-03-28 22:02:37.054267,1995-09-19 22:02:37.054267,,1995-09-19 22:02:37.054267,321.0,Eve,Pettai,,2247.0,1946-03-28 22:02:37.054267,4619.0,1957-09-12 22:02:37.054267,,12
29,51907113625,Roman,Merila,,2,100,100,,100,Tõnu,Roman,532,537,,MEES,2019-07-11 22:02:37.054267,,,2013-06-17 00:00:00.000000,899.0,Roman,Merila,,4484.0,2019-07-11 22:02:37.054267,,,,28
30,52011247600,Juri,Sarv,,2,100,100,,100,Roman,Juri,532,537,,MEES,2020-11-24 22:02:37.054267,,,2011-12-03 00:00:00.000000,784.0,Juri,Sarv,,3581.0,2020-11-24 22:02:37.054267,,,,5
31,35704235792,Dmitri,Viik,,14,100,100,,100,Igor,Dmitri,532,537,,MEES,1957-04-23 22:02:37.054267,,,1990-01-01 00:00:00.000000,353.0,Dmitri,Viik,,4040.0,1957-04-23 22:02:37.054267,4918.0,1984-10-26 22:02:37.054267,,24
32,45403311824,Niina,Nuut,,28,100,100,,100,Ivan,Niina,532,537,,NAINE,1954-03-31 22:02:37.054267,,,1990-01-01 00:00:00.000000,557.0,Niina,Nuut,,3159.0,1954-03-31 22:02:37.054267,,,,47
33,62112295103,Maria,Kuzmin,,2,100,100,,100,Priit,Maria,532,537,,NAINE,2021-12-29 22:02:37.054267,,,2006-12-03 00:00:00.000000,245.0,Maria,Kuzmin,,5571.0,2021-12-29 22:02:37.054267,,,,7
34,48309062565,Jelena,Susi,,14,100,100,,100,Viktor,Jelena,532,537,,NAINE,1983-09-06 22:02:37.054267,,,2007-03-22 00:00:00.000000,784.0,Jelena,Susi,,307.0,1983-09-06 22:02:37.054267,5942.0,1984-06-29 22:02:37.054267,,37
35,37011309839,Nikolai,Varik,,28,100,100,,100,Andres,Nikolai,532,537,,MEES,1970-11-30 22:02:37.054267,,,2002-02-07 00:00:00.000000,784.0,Nikolai,Varik,,2107.0,1970-11-30 22:02:37.054267,,,,41
36,47111287144,Aleksandra,Meister,,25,100,100,,100,Marko,Aleksandra,532,537,,NAINE,1971-11-28 22:02:37.054267,,,2002-05-20 00:00:00.000000,901.0,Aleksandra,Meister,,2235.0,1971-11-28 22:02:37.054267,,,,10
37,49305028741,Anna,Käsper,,25,100,100,,100,Tarmo,Anna,532,537,,NAINE,1993-05-02 22:02:37.054267,,,1990-04-22 00:00:00.000000,661.0,Anna,Käsper,,6154.0,1993-05-02 22:02:37.054267,4333.0,2000-04-06 22:02:37.054267,,28
38,33701165700,Nikolai,Tomingas,,25,44,44,,44,Ants,Nikolai,532,537,,MEES,1937-01-16 22:02:37.054267,1979-10-21 22:02:37.054267,,2020-03-11 00:00:00.000000,784.0,Nikolai,Tomingas,,6770.0,1937-01-16 22:02:37.054267,,,,42
39,50903034581,Siim,Mikk,,14,100,100,,100,Pavel,Siim,532,537,,MEES,2009-03-03 22:02:37.054267,,,2020-06-26 00:00:00.000000,141.0,Siim,Mikk,,1367.0,2009-03-03 22:02:37.054267,,,,34
40,49805141289,Marika,Sepp,,31,100,100,,100,Toomas,Marika,532,537,,NAINE,1998-05-14 22:02:37.054267,,,2002-12-16 00:00:00.000000,784.0,Marika,Sepp,,5219.0,1998-05-14 22:02:37.054267,,,,45
41,50608166457,Valeri,Aasa,,19,214,214,,214,Valeri,Valeri,532,537,,MEES,2006-08-16 22:02:37.054267,2010-01-05 22:02:37.054267,,,511.0,Valeri,Aasa,,386.0,2006-08-16 22:02:37.054267,4959.0,2021-06-12 22:02:37.054267,,8
42,51302095128,Urmas,Unt,,10,100,100,,100,Alexander,Urmas,532,537,,MEES,2013-02-09 22:02:37.054267,,,1990-01-01 00:00:00.000000,141.0,Urmas,Unt,,2623.0,2013-02-09 22:02:37.054267,,,,42
43,60112268000,Reet,Anissimov,,25,130,130,,130,Jaanus,Reet,532,537,,NAINE,2001-12-26 22:02:37.054267,2018-10-22 22:02:37.054267,,2018-10-22 22:02:37.054267,917.0,Reet,Anissimov,,2958.0,2001-12-26 22:02:37.054267,5288.0,2024-03-28 22:02:37.054267,,13
44,62206219612,Tatiana,Kikkas,,2,100,100,,100,Tarmo,Tatiana,532,537,,NAINE,2022-06-21 22:02:37.054267,,,2012-05-02 00:00:00.000000,698.0,Tatiana,Kikkas,,5022.0,2022-06-21 22:02:37.054267,4962.0,2024-12-11 22:02:37.054267,,41
45,51107285827,Aleksei,Nuut,,10,202,202,,202,Roman,Aleksei,532,537,,MEES,2011-07-28 22:02:37.054267,2013-12-04 22:02:37.054267,,2017-06-25 00:00:00.000000,651.0,Aleksei,Nuut,,6254.0,2011-07-28 22:02:37.054267,3024.0,2021-06-23 22:02:37.054267,,26
46,44309168074,Natalia,Jakobson,1967-05-17 22:02:37.054267,28,166,166,,166,Aleksei,Natalia,533,539,,NAINE,1943-09-16 22:02:37.054267,1998-04-15 22:02:37.054267,2017-09-13 22:02:37.054267,,567.0,Natalia,Jakobson,,2484.0,1943-09-16 22:02:37.054267,850.0,1971-10-01 22:02:37.054267,,14
47,37411132402,Juri,Aru,,25,100,100,,100,Vello,Juri,532,537,,MEES,1974-11-13 22:02:37.054267,,,2003-11-06 00:00:00.000000,486.0,Juri,Aru,,5652.0,1974-11-13 22:02:37.054267,6446.0,1996-07-02 22:02:37.054267,,35
48,39004123412,Jaanus,Sisask,,28,100,100,,100,Aivar,Jaanus,532,537,,MEES,1990-04-12 22:02:37.054267,,,1990-01-01 00:00:00.000000,901.0,Jaanus,Sisask,,1735.0,1990-04-12 22:02:37.054267,,,,8
49,43406098134,Anu,Kärner,,25,100,100,,100,Toomas,Anu,532,537,,NAINE,1934-06-09 22:02:37.054267,,,2018-12-27 00:00:00.000000,668.0,Anu,Kärner,,5353.0,1934-06-09 22:02:37.054267,182.0,1968-07-17 22:02:37.054267,,29
50,48503204053,Piret,Titov,,22,100,100,,100,Sergei,Piret,532,537,,NAINE,1985-03-20 22:02:37.054267,,,2008-01-18 00:00:00.000000,198.0,Piret,Titov,,5317.0,1985-03-20 22:02:37.054267,,,,28
51,62312128510,Kadri,Abramov,,2,100,100,,100,Rein,Kadri,532,537,,NAINE,2023-12-12 22:02:37.054267,,,2017-10-25 00:00:00.000000,480.0,Kadri,Abramov,,970.0,2023-12-12 22:02:37.054267,3635.0,2024-07-22 22:02:37.054267,,40
52,37905012276,Tiit,Kelder,,22,100,100,,100,Artur,Tiit,532,537,,MEES,1979-05-01 22:02:37.054267,,,2015-01-29 00:00:00.000000,321.0,Tiit,Kelder,,3425.0,1979-05-01 22:02:37.054267,2400.0,1989-05-02 22:02:37.054267,,36
53,43607083568,Kristi,Tsvetkov,,28,100,100,,100,Tiit,Kristi,532,537,,NAINE,1936-07-08 22:02:37.054267,,,1997-01-22 00:00:00.000000,653.0,Kristi,Tsvetkov,,4583.0,1936-07-08 22:02:37.054267,,,,6
54,50705223612,Tarmo,Lääts,,22,202,202,,202,Juri,Tarmo,532,537,,MEES,2007-05-22 22:02:37.054267,2020-05-25 22:02:37.054267,,1993-02-04 00:00:00.000000,784.0,Tarmo,Lääts,,5138.0,2007-05-22 22:02:37.054267,,,,3
55,62103179510,Natalja,Suur,,2,100,100,,100,Oleg,Natalja,532,537,,NAINE,2021-03-17 22:02:37.054267,,,,586.0,Natalja,Suur,,3133.0,2021-03-17 22:02:37.054267,,,,19
56,49504054844,Kristina,Lumi,2018-03-10 22:02:37.054267,19,168,168,,168,Tõnu,Kristina,533,539,,NAINE,1995-04-05 22:02:37.054267,2016-12-22 22:02:37.054267,2025-04-16 22:02:37.054267,2016-12-22 22:02:37.054267,291.0,Kristina,Lumi,,1984.0,1995-04-05 22:02:37.054267,,,,11
57,42710291091,Kadri,Lauri,,25,100,100,,100,Ivan,Kadri,532,537,,NAINE,1927-10-29 22:02:37.054267,,,1990-01-01 00:00:00.000000,793.0,Kadri,Lauri,,1659.0,1927-10-29 22:02:37.054267,,,,25
58,38504095504,Nikolai,Teras,,19,100,100,,100,Aleksei,Nikolai,532,537,,MEES,1985-04-09 22:02:37.054267,,,2021-06-07 22:02:37.054267,198.0,Nikolai,Teras,,2356.0,1985-04-09 22:02:37.054267,,,,45
59,36907012803,Andrei,Lumiste,,22,100,100,,100,Aleksei,Andrei,532,537,,MEES,1969-07-01 22:02:37.054267,,,1990-01-01 00:00:00.000000,784.0,Andrei,Lumiste,,4819.0,1969-07-01 22:02:37.054267,5346.0,2005-12-28 22:02:37.054267,,18
60,47503124339,Mare,Roos,,28,100,100,,100,Siim,Mare,532,537,,NAINE,1975-03-12 22:02:37.054267,,,2019-07-30 22:02:37.054267,245.0,Mare,Roos,,6188.0,1975-03-12 22:02:37.054267,1084.0,2016-03-11 22:02:37.054267,,45
61,39802187783,Meelis,Kadak,,31,100,100,,100,Priit,Meelis,532,537,,MEES,1998-02-18 22:02:37.054267,,,2021-05-09 22:02:37.054267,251.0,Meelis,Kadak,,5247.0,1998-02-18 22:02:37.054267,3322.0,2017-12-15 22:02:37.054267,,3
62,62206091074,Triin,Pruul,,2,167,167,,167,Tiit,Triin,532,537,,NAINE,2022-06-09 22:02:37.054267,2022-11-06 22:02:37.054267,,,698.0,Triin,Pruul,,3688.0,2022-06-09 22:02:37.054267,6183.0,2024-11-08 22:02:37.054267,,26
63,34106104799,Aleksandr,Palu,,14,100,100,,100,Priit,Aleksandr,532,537,,MEES,1941-06-10 22:02:37.054267,,,2011-04-05 00:00:00.000000,205.0,Aleksandr,Palu,,1899.0,1941-06-10 22:02:37.054267,1919.0,1956-03-02 22:02:37.054267,,44
64,61706216833,Kristiina,Liblik,,10,100,100,,100,Mihhail,Kristiina,532,537,,NAINE,2017-06-21 22:02:37.054267,,,2016-07-16 00:00:00.000000,784.0,Kristiina,Liblik,,892.0,2017-06-21 22:02:37.054267,4955.0,2021-11-16 22:02:37.054267,,7
65,37601099132,Vello,Nuut,,14,100,100,,100,Raivo,Vello,532,537,,MEES,1976-01-09 22:02:37.054267,,,2020-07-12 00:00:00.000000,251.0,Vello,Nuut,,3082.0,1976-01-09 22:02:37.054267,,,,25
66,38311076400,Tõnu,Kangro,,28,100,100,,100,Aleksei,Tõnu,532,537,,MEES,1983-11-07 22:02:37.054267,,,2000-01-07 00:00:00.000000,272.0,Tõnu,Kangro,,2442.0,1983-11-07 22:02:37.054267,1686.0,2008-10-07 22:02:37.054267,,25
67,49204175356,Kristiina,Kivistik,,25,100,100,,100,Indrek,Kristiina,532,537,,NAINE,1992-04-17 22:02:37.054267,,,2010-01-14 00:00:00.000000,668.0,Kristiina,Kivistik,,5364.0,1992-04-17 22:02:37.054267,5958.0,2018-05-26 22:02:37.054267,,20
68,34603184585,Peeter,Hein,,31,68,68,,68,Martin,Peeter,532,537,,MEES,1946-03-18 22:02:37.054267,2010-10-30 22:02:37.054267,,2019-08-30 00:00:00.000000,899.0,Peeter,Hein,,2435.0,1946-03-18 22:02:37.054267,660.0,2020-04-04 22:02:37.054267,,36
69,47110169060,Svetlana,Arro,,22,100,100,,100,Toomas,Svetlana,532,537,,NAINE,1971-10-16 22:02:37.054267,,,2016-08-25 00:00:00.000000,857.0,Svetlana,Arro,,5441.0,1971-10-16 22:02:37.054267,,,,49
70,45404035629,Mare,Lumi,,14,100,100,,100,Aivar,Mare,532,537,,NAINE,1954-04-03 22:02:37.054267,,,2014-11-10 00:00:00.000000,714.0,Mare,Lumi,,4292.0,1954-04-03 22:02:37.054267,1670.0,1976-06-25 22:02:37.054267,,6
71,51401287284,Alexander,Ojaste,,10,100,100,,100,Tiit,Alexander,532,537,,MEES,2014-01-28 22:02:37.054267,,,2011-02-16 00:00:00.000000,245.0,Alexander,Ojaste,,6502.0,2014-01-28 22:02:37.054267,,,,7
72,43007263513,Maie,Kaljurand,,25,100,100,,100,Jüri,Maie,532,537,,NAINE,1930-07-26 22:02:37.054267,,,2019-06-07 00:00:00.000000,712.0,Maie,Kaljurand,,630.0,1930-07-26 22:02:37.054267,4311.0,2019-12-12 22:02:37.054267,,39
73,61211232604,Reet,Fomin,,10,252,252,,252,Tarmo,Reet,532,537,,NAINE,2012-11-23 22:02:37.054267,2021-11-08 22:02:37.054267,,2021-11-08 22:02:37.054267,205.0,Reet,Fomin,,2083.0,2012-11-23 22:02:37.054267,,,,4
74,60408055211,Marika,Kotov,,14,100,100,,100,Aleksander,Marika,532,537,,NAINE,2004-08-05 22:02:37.054267,,,2015-05-08 22:02:37.054267,511.0,Marika,Kotov,,4973.0,2004-08-05 22:02:37.054267,,,,48
75,39709032982,Toomas,Uustalu,,34,100,100,,100,Jüri,Toomas,532,537,,MEES,1997-09-03 22:02:37.054267,,,1990-01-01 00:00:00.000000,784.0,Toomas,Uustalu,,148.0,1997-09-03 22:02:37.054267,3490.0,2019-09-09 22:02:37.054267,,50
76,33708043848,Ivan,Jakovlev,,14,100,100,,100,Jüri,Ivan,532,537,,MEES,1937-08-04 22:02:37.054267,,,1997-05-04 00:00:00.000000,714.0,Ivan,Jakovlev,,6427.0,1937-08-04 22:02:37.054267,,,,20
77,38603273396,Mati,Trei,,19,100,100,,100,Aleksei,Mati,532,537,,MEES,1986-03-27 22:02:37.054267,,,2006-02-20 00:00:00.000000,792.0,Mati,Trei,,4947.0,1986-03-27 22:02:37.054267,,,,37
78,39010133450,Roman,Teearu,,34,100,100,,100,Tõnu,Roman,532,537,,MEES,1990-10-13 22:02:37.054267,,,2001-09-19 00:00:00.000000,486.0,Roman,Teearu,,1597.0,1990-10-13 22:02:37.054267,2223.0,2015-05-11 22:02:37.054267,,13
79,50701254965,Nikolai,Liivak,,22,100,100,,100,Aleksandr,Nikolai,532,537,,MEES,2007-01-25 22:02:37.054267,,,2020-07-08 00:00:00.000000,712.0,Nikolai,Liivak,,6867.0,2007-01-25 22:02:37.054267,,,,8
80,37305101319,Toomas,Allas,,25,115,115,,115,Oleg,Toomas,532,537,,MEES,1973-05-10 22:02:37.054267,2020-10-10 22:02:37.054267,2023-04-11 22:02:37.054267,2020-02-21 00:00:00.000000,622.0,Toomas,Allas,,1591.0,1973-05-10 22:02:37.054267,,,,27
81,35007079426,Maksim,Iljin,,22,100,100,,100,Rein,Maksim,532,537,,MEES,1950-07-07 22:02:37.054267,,,2019-02-23 00:00:00.000000,291.0,Maksim,Iljin,,1837.0,1950-07-07 22:02:37.054267,,,,31
82,39412067878,Ivan,Suvorov,,34,100,100,,100,Tiit,Ivan,532,537,,MEES,1994-12-06 22:02:37.054267,,,2018-04-23 00:00:00.000000,806.0,Ivan,Suvorov,,947.0,1994-12-06 22:02:37.054267,,,,27
83,46907088527,Svetlana,Hunt,2012-09-09 22:02:37.054267,28,100,100,,100,Marek,Svetlana,533,539,,NAINE,1969-07-08 22:02:37.054267,,,2008-05-05 00:00:00.000000,784.0,Svetlana,Hunt,,4184.0,1969-07-08 22:02:37.054267,,,,34
84,51007069674,Dmitri,Kotkas,,10,100,100,,100,Urmas,Dmitri,532,537,,MEES,2010-07-06 22:02:37.054267,,,1990-01-01 00:00:00.000000,245.0,Dmitri,Kotkas,,5924.0,2010-07-06 22:02:37.054267,245.0,2013-10-03 22:02:37.054267,,16
85,47806099580,Marika,Reinsalu,1993-04-29 22:02:37.054267,28,100,100,,100,Ivan,Marika,533,539,,NAINE,1978-06-09 22:02:37.054267,,,,184.0,Marika,Reinsalu,,4763.0,1978-06-09 22:02:37.054267,,,,15
86,45512049228,Diana,Vaht,,14,123,123,,123,Aleksei,Diana,532,537,,NAINE,1955-12-04 22:02:37.054267,2018-12-20 22:02:37.054267,,1998-11-30 00:00:00.000000,317.0,Diana,Vaht,,6258.0,1955-12-04 22:02:37.054267,,,,25
87,39004244422,Juri,Oja,,34,100,100,,100,Kristjan,Juri,532,537,,MEES,1990-04-24 22:02:37.054267,,,,130.0,Juri,Oja,,5886.0,1990-04-24 22:02:37.054267,,,,5
88,37108118930,Alexander,Uustalu,,14,100,100,,100,Priit,Alexander,532,537,,MEES,1971-08-11 22:02:37.054267,,,2008-12-02 00:00:00.000000,834.0,Alexander,Uustalu,,1212.0,1971-08-11 22:02:37.054267,,,,33
89,49310055062,Tatiana,Laine,,14,100,100,,100,Artur,Tatiana,532,537,,NAINE,1993-10-05 22:02:37.054267,,,1990-01-01 00:00:00.000000,784.0,Tatiana,Laine,,2518.0,1993-10-05 22:02:37.054267,420.0,2017-06-22 22:02:37.054267,,38
90,49207162741,Tiiu,Sisask,,25,100,100,,100,Raivo,Tiiu,532,537,,NAINE,1992-07-16 22:02:37.054267,,,2017-07-24 00:00:00.000000,784.0,Tiiu,Sisask,,3288.0,1992-07-16 22:02:37.054267,,,,37
91,39003305884,Margus,Oras,,31,100,100,,100,Tarmo,Margus,532,537,,MEES,1990-03-30 22:02:37.054267,,,2017-05-28 00:00:00.000000,130.0,Margus,Oras,,4040.0,1990-03-30 22:02:37.054267,6632.0,2016-05-06 22:02:37.054267,,24
92,36812297562,Ants,Klaas,,34,82,82,,82,Marko,Ants,532,537,,MEES,1968-12-29 22:02:37.054267,2013-07-07 22:02:37.054267,,2013-07-07 22:02:37.054267,296.0,Ants,Klaas,,6886.0,1968-12-29 22:02:37.054267,,,,17
93,49305054912,Kristina,Merila,,34,198,198,,198,Sergey,Kristina,532,537,,NAINE,1993-05-05 22:02:37.054267,2008-10-07 22:02:37.054267,,2020-06-05 00:00:00.000000,784.0,Kristina,Merila,,2874.0,1993-05-05 22:02:37.054267,,,,10
94,39106045835,Marko,Ilves,,14,100,100,,100,Alexander,Marko,532,537,,MEES,1991-06-04 22:02:37.054267,,,2018-02-26 00:00:00.000000,191.0,Marko,Ilves,,2009.0,1991-06-04 22:02:37.054267,,,,50
95,35702181155,Mihhail,Volkov,,25,100,100,,100,Jaan,Mihhail,532,537,,MEES,1957-02-18 22:02:37.054267,,,,698.0,Mihhail,Volkov,,2922.0,1957-02-18 22:02:37.054267,,,,27
96,39407283585,Jaan,Põllu,,25,100,100,,100,Roman,Jaan,532,537,,MEES,1994-07-28 22:02:37.054267,,,2012-12-22 00:00:00.000000,793.0,Jaan,Põllu,,6373.0,1994-07-28 22:02:37.054267,,,,38
97,52102202237,Priit,Treial,,2,100,100,,100,Alexander,Priit,532,537,,MEES,2021-02-20 22:02:37.054267,,,2021-11-20 22:02:37.054267,205.0,Priit,Treial,,6910.0,2021-02-20 22:02:37.054267,5252.0,2023-04-08 22:02:37.054267,,17
98,62107115205,Malle,Lehiste,,2,219,219,,219,Vladimir,Malle,532,537,,NAINE,2021-07-11 22:02:37.054267,2023-01-04 22:02:37.054267,,2007-03-22 00:00:00.000000,784.0,Malle,Lehiste,,4539.0,2021-07-11 22:02:37.054267,2864.0,2023-11-13 22:02:37.054267,,41
99,34501117952,Vladimir,Laas,,31,203,203,,203,Andrei,Vladimir,532,537,,MEES,1945-01-11 22:02:37.054267,2015-03-16 22:02:37.054267,,2015-03-16 22:02:37.054267,171.0,Vladimir,Laas,,6288.0,1945-01-11 22:02:37.054267,,,,26
100,50508028386,Sander,Kaljurand,,25,62,62,,62,Martin,Sander,532,537,,MEES,2005-08-02 22:02:37.054267,2024-05-12 22:02:37.054267,,2020-03-23 00:00:00.000000,618.0,Sander,Kaljurand,,3480.0,2005-08-02 22:02:37.054267,,,,27
