IDokID,IsID,DokID,IDokIsikukood,IDokEesnimi,IDokPerenimi,IDokVanaEesnimi,IDokVanaPerenimi,IDokVanaIsikukood,IDokIsanimi,KdIDIsikuRoll,AsID,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv
20,3,13101,33811122787,Rein,Jegorov,,,,Roman,Mingi roll,5,213.0,2001-07-24,,,
21,3,18101,33811122787,Rein,Jegorov,,,,Roman,Mingi roll,12,139.0,2003-07-29,191.0,2007-09-25,
22,3719,7,39510227658,Tarmo,Põldmaa,,,,Viktor,Mingi roll,8,138.0,2001-07-25,,,
23,3719,11817,39510227658,Tarmo,Põldmaa,,,,Viktor,Mingi roll,16,129.0,2019-06-20,55.0,2020-03-13,
24,3719,16817,39510227658,Tarmo,Põldmaa,,,,Viktor,Mingi roll,36,273.0,2023-01-04,179.0,2024-03-14,
25,3719,21817,39510227658,Tarmo,Põldmaa,,,,Viktor,Mingi roll,6,90.0,2020-04-07,342.0,2025-02-23,
26,893,8,46904087358,Jelena,Saare,,,,Jaanus,Mingi roll,38,139.0,2016-07-22,30.0,2020-04-29,2020-04-29
27,893,8991,46904087358,Jelena,Saare,,,,Jaanus,Mingi roll,27,121.0,2018-07-01,,,
28,893,13991,46904087358,Jelena,Saare,,,,Jaanus,Mingi roll,27,240.0,2006-02-18,243.0,2013-01-16,
29,893,18991,46904087358,Jelena,Saare,,,,Jaanus,Mingi roll,42,222.0,2019-05-24,198.0,2022-08-20,
30,2336,9,52004125457,Jüri,Randoja,Vana-Jüri,Vana-Randoja,OLD-6905,Ants,Mingi roll,2,39.0,2016-12-21,86.0,2021-12-09,
31,2336,10434,52004125457,Jüri,Randoja,,,,Ants,Mingi roll,19,213.0,2023-01-16,,,
32,2336,15434,52004125457,Jüri,Randoja,,,,Ants,Mingi roll,5,26.0,2022-06-05,135.0,2023-09-30,
33,2336,20434,52004125457,Jüri,Randoja,,,,Ants,Mingi roll,30,273.0,2012-05-03,284.0,2012-10-31,2012-10-31
34,2470,10,62008041043,Malle,Gorbunov,Vana-Malle,Vana-Gorbunov,OLD-5105,Aleksei,Mingi roll,42,297.0,2008-06-23,,,
35,2470,10568,62008041043,Malle,Gorbunov,,,,Aleksei,Mingi roll,19,258.0,2006-11-12,35.0,2021-05-29,
36,2470,15568,62008041043,Malle,Gorbunov,,,,Aleksei,Mingi roll,11,282.0,2022-07-11,230.0,2023-03-10,
37,2470,20568,62008041043,Malle,Gorbunov,,,,Aleksei,Mingi roll,10,343.0,2019-11-04,134.0,2022-10-16,
38,2560,11,62208077809,Nina,Pärn,,,,Jevgeni,Mingi roll,15,121.0,2003-10-09,63.0,2024-03-16,
39,2560,10658,62208077809,Nina,Pärn,,,,Jevgeni,Mingi roll,4,88.0,2025-02-07,233.0,2025-03-13,
40,2560,15658,62208077809,Nina,Pärn,,,,Jevgeni,Mingi roll,22,210.0,2018-12-15,,,
41,2560,20658,62208077809,Nina,Pärn,,,,Jevgeni,Mingi roll,37,51.0,2018-05-21,,,
42,3304,12,38001161964,Aleksandr,Gorbunov,,,,Aleksander,Mingi roll,45,214.0,2017-12-09,39.0,2025-04-17,
43,3304,11402,38001161964,Aleksandr,Gorbunov,,,,Aleksander,Mingi roll,23,345.0,2005-12-06,189.0,2008-03-12,
44,3304,16402,38001161964,Aleksandr,Gorbunov,,,,Aleksander,Mingi roll,19,182.0,2025-04-03,117.0,2025-04-13,
45,3304,21402,38001161964,Aleksandr,Gorbunov,,,,Aleksander,Mingi roll,1,231.0,2010-05-28,301.0,2022-07-24,
46,4112,13,51411195761,Sergei,Kaljuvee,,,,Marko,Mingi roll,15,44.0,2003-07-03,,,
47,4112,12210,51411195761,Sergei,Kaljuvee,,,,Marko,Mingi roll,22,101.0,2018-06-29,207.0,2020-10-03,2020-10-03
48,4112,17210,51411195761,Sergei,Kaljuvee,,,,Marko,Mingi roll,1,194.0,2016-12-27,149.0,2022-12-23,
49,4112,22210,51411195761,Sergei,Kaljuvee,,,,Marko,Mingi roll,5,165.0,2024-05-21,,,
50,4545,14,39803188278,Andres,Valge,,,,Aivar,Mingi roll,16,34.0,2010-07-22,,,
51,4545,12643,39803188278,Andres,Valge,,,,Aivar,Mingi roll,5,179.0,2017-01-16,,,
52,4545,17643,39803188278,Andres,Valge,,,,Aivar,Mingi roll,41,249.0,2022-10-13,,,
53,4545,22643,39803188278,Andres,Valge,,,,Aivar,Mingi roll,24,92.0,2012-07-02,30.0,2020-04-29,
54,4584,15,62401143114,Natalja,Klimov,,,,Ants,Mingi roll,26,59.0,2013-09-26,,,
55,4584,12682,62401143114,Natalja,Klimov,,,,Ants,Mingi roll,29,295.0,2022-02-19,,,
56,4584,17682,62401143114,Natalja,Klimov,,,,Ants,Mingi roll,45,55.0,2009-02-26,,,
57,4584,22682,62401143114,Natalja,Klimov,,,,Ants,Mingi roll,1,278.0,2001-07-01,129.0,2007-12-16,
58,4,16,38304141507,Mihhail,Hein,,,,Aleksei,Mingi roll,48,313.0,2009-04-12,,,
59,4,8102,38304141507,Mihhail,Hein,,,,Aleksei,Mingi roll,22,4.0,2002-12-11,,,
60,4,13102,38304141507,Mihhail,Hein,,,,Aleksei,Mingi roll,34,329.0,2000-10-19,,,
61,4,18102,38304141507,Mihhail,Hein,,,,Aleksei,Mingi roll,13,280.0,2012-08-23,157.0,2024-08-10,
62,1054,17,50512171384,Andres,Tarassov,,,,Jevgeni,Mingi roll,1,327.0,2017-11-26,290.0,2022-08-25,
63,1054,9152,50512171384,Andres,Tarassov,,,,Jevgeni,Mingi roll,40,164.0,2012-06-01,189.0,2024-09-17,
64,1054,14152,50512171384,Andres,Tarassov,,,,Jevgeni,Mingi roll,22,343.0,2009-08-10,239.0,2019-11-29,
65,1054,19152,50512171384,Andres,Tarassov,,,,Jevgeni,Mingi roll,4,208.0,2024-11-30,233.0,2025-03-13,
66,3680,18,48101265418,Tamara,Salumäe,,,,Nikolai,Mingi roll,19,30.0,2016-09-24,319.0,2020-08-18,
67,3680,19,48101265418,Tamara,Salumäe,,,,Nikolai,Mingi roll,6,64.0,2001-06-06,241.0,2015-08-23,
68,3680,11778,48101265418,Tamara,Salumäe,,,,Nikolai,Mingi roll,28,104.0,2012-08-22,,,
69,3680,16778,48101265418,Tamara,Salumäe,,,,Nikolai,Mingi roll,9,214.0,2009-09-15,272.0,2016-05-25,
70,3680,21778,48101265418,Tamara,Salumäe,,,,Nikolai,Mingi roll,43,169.0,2016-02-10,,,
71,5,20,50803225245,Tarmo,Nurm,,,,Mati,Mingi roll,5,68.0,2002-12-06,,,
72,5,21,50803225245,Tarmo,Nurm,,,,Mati,Mingi roll,5,152.0,2015-06-26,,,
73,5,8103,50803225245,Tarmo,Nurm,,,,Mati,Mingi roll,18,190.0,2016-08-27,,,
74,5,13103,50803225245,Tarmo,Nurm,,,,Mati,Mingi roll,26,23.0,2021-02-12,313.0,2023-07-19,2023-07-19
75,5,18103,50803225245,Tarmo,Nurm,,,,Mati,Mingi roll,37,252.0,2011-07-27,,,
76,964,22,60010029112,Ljubov,Lehiste,,,,Jevgeni,Mingi roll,45,8.0,2017-06-26,197.0,2024-08-03,
77,964,23,60010029112,Ljubov,Lehiste,,,,Jevgeni,Mingi roll,25,129.0,2013-05-21,292.0,2019-10-29,
78,964,9062,60010029112,Ljubov,Lehiste,Vana-Ljubov,Vana-Lehiste,OLD-9414,Jevgeni,Mingi roll,6,322.0,2006-04-06,217.0,2021-11-17,
79,964,14062,60010029112,Ljubov,Lehiste,,,,Jevgeni,Mingi roll,24,330.0,2021-10-07,,,
80,964,19062,60010029112,Ljubov,Lehiste,,,,Jevgeni,Mingi roll,44,86.0,2011-08-17,154.0,2012-06-06,
81,7,24,50405309449,Pavel,Teearu,,,,Indrek,Mingi roll,5,332.0,2008-06-05,,,
82,7,25,50405309449,Pavel,Teearu,,,,Indrek,Mingi roll,4,33.0,2004-09-08,304.0,2013-01-07,
83,7,8105,50405309449,Pavel,Teearu,,,,Indrek,Mingi roll,2,104.0,2008-09-13,,,
84,7,13105,50405309449,Pavel,Teearu,,,,Indrek,Mingi roll,16,87.0,2011-03-05,,,
85,7,18105,50405309449,Pavel,Teearu,,,,Indrek,Mingi roll,49,184.0,2015-07-21,78.0,2023-10-20,
86,3196,26,62207319900,Piret,Hallik,Vana-Piret,Vana-Hallik,OLD-2829,Urmas,Mingi roll,42,182.0,2011-09-29,191.0,2024-05-29,
87,3196,27,62207319900,Piret,Hallik,,,,Urmas,Mingi roll,11,164.0,2014-09-09,,,
88,3196,11294,62207319900,Piret,Hallik,,,,Urmas,Mingi roll,30,86.0,2015-11-05,,,
89,3196,16294,62207319900,Piret,Hallik,,,,Urmas,Mingi roll,34,60.0,2017-12-10,,,
90,3196,21294,62207319900,Piret,Hallik,,,,Urmas,Mingi roll,24,32.0,2016-04-25,305.0,2023-07-15,
91,8,28,34010151887,Martin,Lind,,,,Nikolai,Mingi roll,34,211.0,2001-09-30,113.0,2014-04-27,
92,8,29,34010151887,Martin,Lind,,,,Nikolai,Mingi roll,5,242.0,2004-06-04,104.0,2015-07-26,
93,8,8106,34010151887,Martin,Lind,,,,Nikolai,Mingi roll,27,110.0,2020-08-25,24.0,2025-02-02,
94,8,13106,34010151887,Martin,Lind,,,,Nikolai,Mingi roll,18,117.0,2013-03-02,211.0,2019-01-05,
95,8,18106,34010151887,Martin,Lind,,,,Nikolai,Mingi roll,49,28.0,2023-05-11,310.0,2024-12-18,2024-12-18
96,4105,30,39912272614,Jüri,Pavlov,,,,Oleg,Mingi roll,42,170.0,2003-08-24,130.0,2004-12-16,
97,4105,31,39912272614,Jüri,Pavlov,,,,Oleg,Mingi roll,30,275.0,2001-02-07,,,
98,4105,12203,39912272614,Jüri,Pavlov,,,,Oleg,Mingi roll,47,161.0,2015-03-08,320.0,2025-02-26,
99,4105,17203,39912272614,Jüri,Pavlov,,,,Oleg,Mingi roll,40,207.0,2009-09-11,161.0,2020-09-19,
100,4105,22203,39912272614,Jüri,Pavlov,,,,Oleg,Mingi roll,12,233.0,2006-05-24,,,
101,1449,32,60506154074,Jekaterina,Kivilo,,,,Aivar,Mingi roll,3,195.0,2017-06-03,,,
102,1449,9547,60506154074,Jekaterina,Kivilo,,,,Aivar,Mingi roll,7,108.0,2021-11-30,97.0,2022-11-22,
103,1449,14547,60506154074,Jekaterina,Kivilo,,,,Aivar,Mingi roll,12,262.0,2003-02-23,200.0,2021-08-04,2021-08-04
104,1449,19547,60506154074,Jekaterina,Kivilo,Vana-Jekaterina,Vana-Kivilo,OLD-9758,Aivar,Mingi roll,16,112.0,2021-04-20,136.0,2024-04-22,
105,3905,33,32812098394,Andrei,Tuisk,,,,Jaan,Mingi roll,29,127.0,2010-02-15,246.0,2019-09-27,
106,3905,12003,32812098394,Andrei,Tuisk,,,,Jaan,Mingi roll,18,152.0,2021-01-20,344.0,2021-03-06,
107,3905,17003,32812098394,Andrei,Tuisk,,,,Jaan,Mingi roll,46,338.0,2021-08-30,128.0,2024-12-27,
108,3905,22003,32812098394,Andrei,Tuisk,,,,Jaan,Mingi roll,11,106.0,2023-11-24,,,
109,10,34,62402046148,Mare,Loorits,,,,Valeri,Mingi roll,30,230.0,2018-01-14,,,
110,10,8108,62402046148,Mare,Loorits,,,,Valeri,Mingi roll,29,264.0,2018-01-29,,,
111,10,13108,62402046148,Mare,Loorits,,,,Valeri,Mingi roll,40,34.0,2002-10-18,270.0,2009-07-17,
112,10,18108,62402046148,Mare,Loorits,,,,Valeri,Mingi roll,49,245.0,2021-06-26,,,
113,1736,35,52401167792,Aleksander,Soosaar,,,,Sergey,Mingi roll,28,52.0,2009-02-16,108.0,2022-04-18,
114,1736,9834,52401167792,Aleksander,Soosaar,,,,Sergey,Mingi roll,17,74.0,2018-12-20,,,
115,1736,14834,52401167792,Aleksander,Soosaar,,,,Sergey,Mingi roll,4,71.0,2019-01-17,,,
116,1736,19834,52401167792,Aleksander,Soosaar,,,,Sergey,Mingi roll,7,107.0,2011-06-20,30.0,2020-04-29,
117,3388,36,52306252552,Peeter,Varik,,,,Tarmo,Mingi roll,42,239.0,2010-10-28,94.0,2022-11-14,
118,3388,11486,52306252552,Peeter,Varik,,,,Tarmo,Mingi roll,23,43.0,2000-05-30,,,
119,3388,16486,52306252552,Peeter,Varik,Vana-Peeter,Vana-Varik,OLD-5813,Tarmo,Mingi roll,50,23.0,2008-05-28,,,
120,3388,21486,52306252552,Peeter,Varik,,,,Tarmo,Mingi roll,10,64.0,2010-05-06,,,
121,4310,37,52404188881,Tõnu,Raud,,,,Dmitri,Mingi roll,9,174.0,2008-12-25,,,
122,4310,12408,52404188881,Tõnu,Raud,,,,Dmitri,Mingi roll,46,319.0,2012-06-03,309.0,2013-11-22,
123,4310,17408,52404188881,Tõnu,Raud,Vana-Tõnu,Vana-Raud,OLD-8586,Dmitri,Mingi roll,12,283.0,2012-05-01,,,
124,4310,22408,52404188881,Tõnu,Raud,,,,Dmitri,Mingi roll,50,286.0,2015-12-18,,,
125,11,38,37107014653,Ivan,Lillemets,,,,Aleksei,Mingi roll,48,84.0,2015-07-29,158.0,2017-05-27,
126,11,39,37107014653,Ivan,Lillemets,,,,Aleksei,Mingi roll,6,133.0,2015-05-10,44.0,2024-10-22,
127,11,40,37107014653,Ivan,Lillemets,,,,Aleksei,Mingi roll,17,295.0,2019-11-16,260.0,2021-04-24,
128,11,8109,37107014653,Ivan,Lillemets,,,,Aleksei,Mingi roll,44,281.0,2004-01-06,154.0,2004-08-07,
129,11,13109,37107014653,Ivan,Lillemets,,,,Aleksei,Mingi roll,43,166.0,2018-04-05,,,
130,11,18109,37107014653,Ivan,Lillemets,,,,Aleksei,Mingi roll,16,283.0,2013-06-12,,,
131,1624,41,44412044753,Tamara,Komarov,,,,Ivan,Mingi roll,9,74.0,2003-02-21,231.0,2005-12-15,
132,1624,9722,44412044753,Tamara,Komarov,,,,Ivan,Mingi roll,13,95.0,2004-07-17,,,
133,1624,14722,44412044753,Tamara,Komarov,,,,Ivan,Mingi roll,3,101.0,2025-01-22,,,
134,1624,19722,44412044753,Tamara,Komarov,,,,Ivan,Mingi roll,50,188.0,2023-10-06,311.0,2023-11-14,
135,12,42,62211106404,Anne,Kiis,,,,Vello,Mingi roll,9,274.0,2020-05-09,314.0,2021-12-20,
136,12,8110,62211106404,Anne,Kiis,,,,Vello,Mingi roll,3,79.0,2021-03-10,287.0,2023-11-09,
137,12,13110,62211106404,Anne,Kiis,,,,Vello,Mingi roll,45,259.0,2023-12-11,65.0,2024-09-04,
138,12,18110,62211106404,Anne,Kiis,,,,Vello,Mingi roll,33,238.0,2019-02-10,136.0,2023-05-22,
139,96,43,51907221887,Jüri,Klimov,,,,Alexander,Mingi roll,49,86.0,2009-07-27,298.0,2011-09-14,
140,96,8194,51907221887,Jüri,Klimov,,,,Alexander,Mingi roll,1,339.0,2015-11-11,316.0,2020-02-19,
141,96,13194,51907221887,Jüri,Klimov,,,,Alexander,Mingi roll,9,164.0,2022-12-04,,,
142,96,18194,51907221887,Jüri,Klimov,,,,Alexander,Mingi roll,14,292.0,2019-10-29,190.0,2022-03-19,
143,2593,44,61409285912,Natalia,Maasik,,,,Rein,Mingi roll,21,53.0,2021-11-10,166.0,2022-02-20,
144,2593,10691,61409285912,Natalia,Maasik,,,,Rein,Mingi roll,4,125.0,2003-03-07,,,
145,2593,15691,61409285912,Natalia,Maasik,,,,Rein,Mingi roll,31,190.0,2022-11-13,20.0,2025-02-09,2025-02-09
146,2593,20691,61409285912,Natalia,Maasik,,,,Rein,Mingi roll,32,295.0,2009-08-08,,,
147,170,45,39508278394,Aleksandr,Hein,,,,Marek,Mingi roll,13,336.0,2023-05-18,325.0,2023-11-05,
148,170,46,39508278394,Aleksandr,Hein,,,,Marek,Mingi roll,7,231.0,2019-11-28,340.0,2021-04-29,
149,170,8268,39508278394,Aleksandr,Hein,,,,Marek,Mingi roll,42,141.0,2006-08-09,336.0,2021-05-25,
150,170,13268,39508278394,Aleksandr,Hein,,,,Marek,Mingi roll,45,97.0,2010-04-09,162.0,2019-08-31,
151,170,18268,39508278394,Aleksandr,Hein,,,,Marek,Mingi roll,24,29.0,2022-10-14,,,
152,4017,47,36905024420,Vello,Aleksandrov,,,,Toomas,Mingi roll,16,116.0,2012-09-01,249.0,2023-05-29,2023-05-29
153,4017,48,36905024420,Vello,Aleksandrov,,,,Toomas,Mingi roll,27,101.0,2011-06-18,119.0,2022-01-26,
154,4017,12115,36905024420,Vello,Aleksandrov,,,,Toomas,Mingi roll,28,97.0,2018-08-26,252.0,2019-05-06,
155,4017,17115,36905024420,Vello,Aleksandrov,Vana-Vello,Vana-Aleksandrov,OLD-6258,Toomas,Mingi roll,38,135.0,2004-10-19,276.0,2021-01-09,
156,4017,22115,36905024420,Vello,Aleksandrov,,,,Toomas,Mingi roll,29,216.0,2020-04-27,,,
157,13,49,52403212180,Aleksandr,Andreev,,,,Igor,Mingi roll,8,167.0,2003-07-02,311.0,2004-04-29,
158,13,50,52403212180,Aleksandr,Andreev,,,,Igor,Mingi roll,41,151.0,2024-01-11,340.0,2025-01-10,2025-01-10
159,13,8111,52403212180,Aleksandr,Andreev,,,,Igor,Mingi roll,30,178.0,2005-03-02,19.0,2008-12-29,
160,13,13111,52403212180,Aleksandr,Andreev,,,,Igor,Mingi roll,12,24.0,2003-10-08,,,
161,13,18111,52403212180,Aleksandr,Andreev,Vana-Aleksandr,Vana-Andreev,OLD-7699,Igor,Mingi roll,18,242.0,2008-06-16,16.0,2019-10-25,
162,3325,51,61502283066,Maria,Zujev,,,,Aivar,Mingi roll,7,94.0,2002-10-02,242.0,2004-11-21,2004-11-21
163,3325,52,61502283066,Maria,Zujev,,,,Aivar,Mingi roll,36,104.0,2008-09-13,141.0,2010-01-01,
164,3325,11423,61502283066,Maria,Zujev,,,,Aivar,Mingi roll,16,82.0,2007-08-04,,,
165,3325,16423,61502283066,Maria,Zujev,,,,Aivar,Mingi roll,23,42.0,2017-10-02,,,
166,3325,21423,61502283066,Maria,Zujev,,,,Aivar,Mingi roll,49,77.0,2009-02-06,308.0,2017-05-26,
167,4026,53,62310122045,Jelena,Kisseljov,,,,Sander,Mingi roll,14,101.0,2012-08-06,186.0,2021-03-14,
168,4026,54,62310122045,Jelena,Kisseljov,,,,Sander,Mingi roll,34,229.0,2015-01-18,81.0,2019-06-24,
169,4026,12124,62310122045,Jelena,Kisseljov,,,,Sander,Mingi roll,1,332.0,2004-12-13,,,
170,4026,17124,62310122045,Jelena,Kisseljov,,,,Sander,Mingi roll,11,298.0,2008-01-21,129.0,2021-05-16,
171,4026,22124,62310122045,Jelena,Kisseljov,,,,Sander,Mingi roll,28,192.0,2013-04-07,18.0,2022-10-10,
172,4857,55,51508028877,Rein,Lääne,,,,Aleksandr,Mingi roll,28,88.0,2011-11-26,253.0,2024-07-27,
173,4857,56,51508028877,Rein,Lääne,,,,Aleksandr,Mingi roll,33,10.0,2009-10-01,191.0,2011-05-05,2011-05-05
174,4857,12955,51508028877,Rein,Lääne,,,,Aleksandr,Mingi roll,30,186.0,2011-12-28,,,
175,4857,17955,51508028877,Rein,Lääne,,,,Aleksandr,Mingi roll,40,6.0,2015-10-29,222.0,2024-05-10,
176,4857,22955,51508028877,Rein,Lääne,Vana-Rein,Vana-Lääne,OLD-5391,Aleksandr,Mingi roll,11,159.0,2016-03-09,52.0,2021-01-05,
177,14,57,48903036069,Tatjana,Reimann,,,,Peeter,Mingi roll,33,109.0,2002-09-27,,,
178,14,58,48903036069,Tatjana,Reimann,,,,Peeter,Mingi roll,21,164.0,2005-10-10,327.0,2018-04-27,
179,14,59,48903036069,Tatjana,Reimann,,,,Peeter,Mingi roll,27,254.0,2019-04-25,141.0,2022-09-08,
180,14,8112,48903036069,Tatjana,Reimann,,,,Peeter,Mingi roll,9,270.0,2011-04-28,,,
181,14,13112,48903036069,Tatjana,Reimann,,,,Peeter,Mingi roll,14,212.0,2021-08-08,,,
182,14,18112,48903036069,Tatjana,Reimann,,,,Peeter,Mingi roll,28,44.0,2013-08-22,246.0,2024-11-10,
183,4782,60,49903294823,Anneli,Järve,,,,Marko,Mingi roll,46,93.0,2015-09-29,47.0,2023-05-27,
184,4782,12880,49903294823,Anneli,Järve,,,,Marko,Mingi roll,32,230.0,2000-01-23,317.0,2000-03-09,2000-03-09
185,4782,17880,49903294823,Anneli,Järve,,,,Marko,Mingi roll,38,178.0,2002-01-31,,,
186,4782,22880,49903294823,Anneli,Järve,,,,Marko,Mingi roll,40,197.0,2010-08-28,,,
187,1392,61,62004186695,Linda,Piirsalu,,,,Priit,Mingi roll,50,22.0,2020-02-06,,,
188,1392,9490,62004186695,Linda,Piirsalu,,,,Priit,Mingi roll,33,143.0,2017-03-07,305.0,2017-09-15,
189,1392,14490,62004186695,Linda,Piirsalu,,,,Priit,Mingi roll,14,223.0,2013-02-26,,,
190,1392,19490,62004186695,Linda,Piirsalu,,,,Priit,Mingi roll,34,165.0,2018-12-09,,,
191,2392,62,62109295027,Marika,Moor,,,,Viktor,Mingi roll,27,65.0,2015-09-27,,,
192,2392,63,62109295027,Marika,Moor,,,,Viktor,Mingi roll,17,20.0,2020-03-24,,,
193,2392,64,62109295027,Marika,Moor,,,,Viktor,Mingi roll,23,320.0,2009-07-11,39.0,2015-05-30,
194,2392,10490,62109295027,Marika,Moor,,,,Viktor,Mingi roll,18,212.0,2011-12-25,146.0,2024-03-10,
195,2392,15490,62109295027,Marika,Moor,,,,Viktor,Mingi roll,39,305.0,2000-11-10,293.0,2007-01-16,
196,2392,20490,62109295027,Marika,Moor,Vana-Marika,Vana-Moor,OLD-7567,Viktor,Mingi roll,5,157.0,2013-12-23,,,
197,3911,65,62201289805,Olga,Pikk,,,,Aleksander,Mingi roll,2,318.0,2023-03-07,,,
198,3911,66,62201289805,Olga,Pikk,,,,Aleksander,Mingi roll,31,314.0,2023-11-21,,,
199,3911,67,62201289805,Olga,Pikk,,,,Aleksander,Mingi roll,32,32.0,2013-04-04,73.0,2021-11-19,
200,3911,12009,62201289805,Olga,Pikk,,,,Aleksander,Mingi roll,40,304.0,2018-03-02,190.0,2023-02-11,
201,3911,17009,62201289805,Olga,Pikk,,,,Aleksander,Mingi roll,40,331.0,2013-08-20,,,
202,3911,22009,62201289805,Olga,Pikk,Vana-Olga,Vana-Pikk,OLD-1867,Aleksander,Mingi roll,16,97.0,2011-12-04,167.0,2012-07-09,
203,4204,68,52008231886,Aivar,Anissimov,,,,Roman,Mingi roll,41,162.0,2001-04-22,239.0,2005-08-11,2005-08-11
204,4204,69,52008231886,Aivar,Anissimov,,,,Roman,Mingi roll,25,65.0,2000-10-02,,,
205,4204,70,52008231886,Aivar,Anissimov,,,,Roman,Mingi roll,26,197.0,2010-08-28,,,
206,4204,12302,52008231886,Aivar,Anissimov,,,,Roman,Mingi roll,27,234.0,2009-02-15,150.0,2009-09-23,
207,4204,17302,52008231886,Aivar,Anissimov,,,,Roman,Mingi roll,12,329.0,2014-10-26,188.0,2016-12-08,
208,4204,22302,52008231886,Aivar,Anissimov,,,,Roman,Mingi roll,27,302.0,2016-06-13,,,
209,15,71,34405074573,Nikolai,Sibul,,,,Jevgeni,Mingi roll,26,134.0,2005-05-10,,,
210,15,72,34405074573,Nikolai,Sibul,,,,Jevgeni,Mingi roll,44,262.0,2011-06-29,,,
211,15,8113,34405074573,Nikolai,Sibul,,,,Jevgeni,Mingi roll,25,51.0,2012-09-20,143.0,2015-02-11,
212,15,13113,34405074573,Nikolai,Sibul,,,,Jevgeni,Mingi roll,3,100.0,2020-10-25,,,
213,15,18113,34405074573,Nikolai,Sibul,,,,Jevgeni,Mingi roll,1,109.0,2020-02-26,,,
214,1881,73,51403211980,Martin,Vorobjov,,,,Peeter,Mingi roll,18,63.0,2010-12-30,,,
215,1881,74,51403211980,Martin,Vorobjov,,,,Peeter,Mingi roll,21,261.0,2019-01-07,,,
216,1881,9979,51403211980,Martin,Vorobjov,,,,Peeter,Mingi roll,30,146.0,2013-08-02,145.0,2014-05-01,
217,1881,14979,51403211980,Martin,Vorobjov,,,,Peeter,Mingi roll,50,125.0,2009-01-20,23.0,2018-10-14,
218,1881,19979,51403211980,Martin,Vorobjov,,,,Peeter,Mingi roll,49,42.0,2010-12-18,,,
219,4023,75,44706184714,Malle,Solovjov,,,,Igor,Mingi roll,13,276.0,2025-01-30,20.0,2025-02-09,
220,4023,12121,44706184714,Malle,Solovjov,,,,Igor,Mingi roll,33,94.0,2003-01-08,,,
221,4023,17121,44706184714,Malle,Solovjov,,,,Igor,Mingi roll,1,222.0,2011-08-04,134.0,2018-05-03,
222,4023,22121,44706184714,Malle,Solovjov,,,,Igor,Mingi roll,13,107.0,2014-03-11,,,
223,16,76,52004011638,Igor,Villemson,,,,Dmitri,Mingi roll,14,102.0,2016-06-09,,,
224,16,8114,52004011638,Igor,Villemson,,,,Dmitri,Mingi roll,27,217.0,2021-03-15,205.0,2022-10-12,2022-10-12
225,16,13114,52004011638,Igor,Villemson,,,,Dmitri,Mingi roll,31,275.0,2006-01-25,315.0,2019-02-21,
